photoghraphy_description,photoghraphy_title,photoghraphy_number,photoghraphy_address,photoghraphy_photos
"Make up by Nikitha Reddy is a Bridal Makeup Artist based out of Bangalore . Make up by Nikitha Reddy's telephone number is ,,  Facebook page is , and address is Indiranagar, Bengaluru, Karnataka 560038, India.,In terms of pricing Make up by Nikitha Reddy  offers various packages starting at Rs ,/-.,Has been viewed 6 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Make up by Nikitha Reddy at guaranteed prices and with peace of mind.","
		,Make up by Nikitha Reddy, Bangalore,		
	",tel:76-66-77-88-99,"
						Indiranagar, Bengaluru, Karnataka 560038, India
					","https://media.weddingz.in/images/3964db1e810a38f7912a290f8d20a893/nr9.jpg,https://media.weddingz.in/images/d2c044039479201d55abac516b399399/nr9.jpg,https://media.weddingz.in/images/275bb3bd5419dad105063f6eb9d126a7/nr8.jpg,https://media.weddingz.in/images/076fe80589db9e65834dcafed28ad95d/nr7.jpg,https://media.weddingz.in/images/ce1a39eac8a0dd5c68ecd7c45a884eae/nr6.jpg,https://media.weddingz.in/images/994378b1d954ee7f1ca9748f630e3d8a/nr5.jpg,https://media.weddingz.in/images/ed2d43fc487d6f7b7b488faf6f4da29b/nr4.jpg,https://media.weddingz.in/images/0febaf5b9a878850263142517f3bca72/NR3.jpg,https://media.weddingz.in/images/a371824ba0f307b2875f3d3384ab52dc/NR2.jpg"
"Makeup By Maithri is a Bridal Makeup Artist based out of Bangalore . Makeup By Maithri's telephone number is ,,  Facebook page is , and address is Bengaluru, Karnataka 560001, India.,In terms of pricing Makeup By Maithri  offers various packages starting at Rs ,/-.,Has been viewed 14 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Makeup By Maithri at guaranteed prices and with peace of mind.","
		,Makeup By Maithri, Bangalore,		
	",tel:76-66-77-88-99,"
						Bengaluru, Karnataka 560001, India
					","https://media.weddingz.in/images/7acadec11e98c8a3dae919a2db4979c8/1656203_1630466710550572_2993477555861793269_n.jpg,https://media.weddingz.in/images/f65a5d619d28b5fcde5a4207c931e5ac/fe619db1-b966-4949-afa3-239ce226e641.jpg,https://media.weddingz.in/images/ad647e066ac3ca8d77eeee59425a77ff/c696b508-2966-4dc9-ac8b-2d016cc6abff.jpg,https://media.weddingz.in/images/c30e9b1fb2e236dbf0a85120b62f5144/598f3b7f-bc29-4627-a52d-e6dc5734d9a4.jpg,https://media.weddingz.in/images/31d7138d353b8a84f43c881023c4a18c/1935616_1629875633943013_1733015547345852288_n.jpg,https://media.weddingz.in/images/409dbbf03fd3d26b9adbb737bb4c69ac/922911_1629875683943008_5809323236666883846_n.jpg,https://media.weddingz.in/images/89c26189020b4f9a37c6cdfbcb109fec/12347959_1624663361130907_3044576453213736841_n.jpg,https://media.weddingz.in/images/201bd70c956c41efccbc5ba42501c982/12662420_1639914779605765_7588046151892286221_n.jpg,https://media.weddingz.in/images/b7027362f6d272b67c7b9a019645f432/12809569_1648614395402470_7614691034190451463_n.jpg,https://media.weddingz.in/images/ee4f10f3b49e99350c8f3668f45b97a0/10439033_1630466673883909_7360414598069922439_n.jpg,https://media.weddingz.in/images/a7ef6330103dfb43064363021d077403/12647111_1639914856272424_3927862964788563797_n.jpg,https://media.weddingz.in/images/65735686ebca0dc50f4e81b490413721/12654563_1640033922927184_5693967518193435223_n.jpg,https://media.weddingz.in/images/ec519c417cd66d1a3f57ec935cd92233/12728762_1644608459136397_4526313227493804242_n.jpg"
"Make up by Harish is a Bridal Makeup Artist based out of HRBR Layout, Bangalore . Make up by Harish's telephone number is ,,  address is A Sector Rd, Amruthnagar, Byatarayanapura, Bengaluru, Karnataka 560092, India.,In terms of pricing Make up by Harish  offers various packages starting at Rs ,/-.,Has been viewed 33 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Make up by Harish at guaranteed prices and with peace of mind.","
		,Make up by Harish, Bangalore,		
	",tel:76-66-77-88-99,"
						A Sector Rd, Amruthnagar, Byatarayanapura, Bengaluru, Karnataka 560092, India
					","https://media.weddingz.in/images/f02479aec04c5af7ef4b30238a9847b7/IMG_5050.jpg,https://media.weddingz.in/images/f32efcbdecdba2e6d516aa0a7d7c4b3a/IMG_5069.jpg,https://media.weddingz.in/images/4ccdd47b98d67620d43c14ffa5a6f872/IMG_5068.jpg,https://media.weddingz.in/images/3162dcf388f0a4c832283e4fee7fc325/IMG_5064.jpg,https://media.weddingz.in/images/7246c207d691d392655ab964a513a426/IMG_5062.jpg,https://media.weddingz.in/images/c8e6efe6d5e326584efb218fd08aea3e/IMG_5059.jpg,https://media.weddingz.in/images/6d21a06d81ce46ab21edda4637a4f5f5/IMG_5058.jpg,https://media.weddingz.in/images/373682fa1ea119acb4987b2d95d3653e/IMG_5056.jpg,https://media.weddingz.in/images/159104ebf0eee0652597fd17e4e9a5e7/IMG_5055.jpg,https://media.weddingz.in/images/5d697dd9b9601b24212c49cd85574128/IMG_5054.jpg,https://media.weddingz.in/images/8937e8a3b51682b0d705ef50c30687ad/IMG_5053.jpg,https://media.weddingz.in/images/d4c2ce475903ff5d9f46a64fe1ca2c97/IMG_5052.jpg,https://media.weddingz.in/images/f5ce792cd839946319197b0ae10c74a3/IMG_5050.jpg,https://media.weddingz.in/images/02d29e47a6c70e7ae8663f677e6ed5a9/IMG_5049.jpg"
"Kulsum Parvez Make Up Studio is a Bridal Makeup Artist based out of Bangalore . Kulsum Parvez Make Up Studio's telephone number is ,, Kulsum Parvez Make Up Studio website address is ,, Facebook page is , and address is Kempegowda International Airport (BLR), Devanahalli, Bengaluru, Karnataka 560300, India.,In terms of pricing Kulsum Parvez Make Up Studio  offers various packages starting at Rs ,/-.,Has been viewed 9 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Kulsum Parvez Make Up Studio at guaranteed prices and with peace of mind.","
		,Kulsum Parvez Make Up Studio, Bangalore,		
	",tel:76-66-77-88-99,"
						Kempegowda International Airport (BLR), Devanahalli, Bengaluru, Karnataka 560300, India
					","https://media.weddingz.in/images/03f606158e1dc977d9e1e94f420ae87c/kp2.jpg,https://media.weddingz.in/images/ce8eb359ac599e0c106b1dc8d87819fd/kp7.jpg,https://media.weddingz.in/images/27e3a317fea12e528f29a15e22626877/kp6.jpg,https://media.weddingz.in/images/ba97a072c2b4c7e7f14a7d1e1847d52b/kp5.jpg,https://media.weddingz.in/images/6b803fdcb05bc459b88a18f8abeeeae6/kp4.jpg,https://media.weddingz.in/images/e5fd0b352709bb91df9060028ad3dd90/kp1.jpg"
"Make up Artistry by Pehal Ahuja is a Bridal Makeup Artist based out of Bangalore . Make up Artistry by Pehal Ahuja's telephone number is ,, Make up Artistry by Pehal Ahuja website address is ,, Facebook page is , and address is Bengaluru, Karnataka 560001, India.,In terms of pricing Make up Artistry by Pehal Ahuja  offers various packages starting at Rs ,/-.,Has been viewed 20 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Make up Artistry by Pehal Ahuja at guaranteed prices and with peace of mind.","
		,Make up Artistry by Pehal Ahuja, Bangalore,		
	",tel:76-66-77-88-99,"
						Bengaluru, Karnataka 560001, India
					","https://media.weddingz.in/images/cba9b393f2e2ab06277a44c823b7ca37/pa7.jpg,https://media.weddingz.in/images/838c1cc1e17f4b233391ec9417300c04/pa8.jpg,https://media.weddingz.in/images/d00da6485258d6034a84e6afd67495dd/pa6.jpg,https://media.weddingz.in/images/2934912bc172965f4e132281b8c20a9c/pa5.jpg,https://media.weddingz.in/images/7ce41b2860baa7d64b8a67c2cf026d8f/pa4.jpg,https://media.weddingz.in/images/7c3acd20b882a8f05c38ace4191c37c2/pa3.jpg,https://media.weddingz.in/images/b48b5e1ea16c5d0fbdd2a32762f5717f/pa1.jpg"
"Bridal Cine Makeup Artist is a Bridal Makeup Artist based out of Bangalore . Bridal Cine Makeup Artist's telephone number is ,,  address is Bengaluru, Karnataka 560041, India.,In terms of pricing Bridal Cine Makeup Artist  offers various packages starting at Rs ,/-.,Has been viewed 17 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Bridal Cine Makeup Artist at guaranteed prices and with peace of mind.","
		,Bridal Cine Makeup Artist, Bangalore,		
	",tel:76-66-77-88-99,"
						Bengaluru, Karnataka 560041, India
					","https://media.weddingz.in/images/9178d78ad0dba5f09b8a821998dc4731/IMG_5044.jpg,https://media.weddingz.in/images/4772e88ca821656fe65c4735027dc978/IMG_5044.jpg,https://media.weddingz.in/images/2362e6056509901b9260c3c4be6419c7/IMG_5043.jpg,https://media.weddingz.in/images/4150f97b24ab33c9f94d42b85276f44e/IMG_5042.jpg,https://media.weddingz.in/images/b1269357c5dbd6019e21e314ba6ba287/IMG_5041.jpg,https://media.weddingz.in/images/5bc718e5fef1c974e4df90c4e9c3c29f/IMG_5040.jpg,https://media.weddingz.in/images/4ecf7c1911f4b3033e6b2a5ae6c4a327/IMG_5039.jpg,https://media.weddingz.in/images/39fbc4d46f6e42d2e9c0ec79867514b5/IMG_5038.jpg,https://media.weddingz.in/images/04b70c97fb2686cc93349a8b8156ad63/IMG_5036.jpg,https://media.weddingz.in/images/c0c913674f86f19c9e53c43c5905187f/IMG_5034.jpg,https://media.weddingz.in/images/023ef929303f01eecde9eb25fac1b982/IMG_5030.jpg,https://media.weddingz.in/images/972fac70e920d96973e5b3a68fea577c/IMG_5027.jpg,https://media.weddingz.in/images/bc6a0f3b34142e8f1d7b0f4f305e137a/IMG_5022.jpg,https://media.weddingz.in/images/eda9342ca99c2901295f84d972c24bd4/IMG_5005.jpg"
"Anil Kodnani is a Bridal Makeup Artist based out of Bangalore . Anil Kodnani's telephone number is ,,  Facebook page is , and address is Basavanagudi, Bengaluru, Karnataka, India.,In terms of pricing Anil Kodnani  offers various packages starting at Rs ,/-.,Has been viewed 13 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Anil Kodnani at guaranteed prices and with peace of mind.","
		,Anil Kodnani, Bangalore,		
	",tel:76-66-77-88-99,"
						Basavanagudi, Bengaluru, Karnataka, India
					","https://media.weddingz.in/images/6a4c53bf4efd512404360c6e3368b53c/0f91a540-90ac-48b4-8dea-74338d3353c2.jpg,https://media.weddingz.in/images/466bfbe7a2cde7b01a5427243ac92cbf/MarwadiKodnani.jpg,https://media.weddingz.in/images/2fc9146774792558358e1432effef19d/MarwadiKodanani.jpg,https://media.weddingz.in/images/44e3494b3fe13cf26f6a584190b31483/KodnaniCR.jpg,https://media.weddingz.in/images/e41257b543268b798c14b87b5788194a/Kodnani1.jpg,https://media.weddingz.in/images/d623284489f1d8e70508085840e133ba/Kodnani_MuslimBride.jpg,https://media.weddingz.in/images/1945885739909afa6442f52c269dc3f0/GlossyKodnani.jpg,https://media.weddingz.in/images/d1b0e244050285c9e536513973bd841d/0f91a540-90ac-48b4-8dea-74338d3353c2.jpg,https://media.weddingz.in/images/bca6b9eb2f1c297088c1e6d90480b77f/dbf214c3-b0d5-484e-a483-01905b0afbad.jpg,https://media.weddingz.in/images/3d9f6c9314d0ed3013d16549c680cb4b/5ee102e6-3be9-4ac4-b02d-7b5ea6e6be07.jpg,https://media.weddingz.in/images/b6dd4570d197bc0c19affc4556112e23/8ed27238-249c-479a-b872-ea71ec9a8fe7.jpg,https://media.weddingz.in/images/4c8e677fdc1da87eafea3f7b4b264e3c/927a77ed-45d3-4029-9e2b-331bc6fff33c.jpg,https://media.weddingz.in/images/201c4b6180d75a02d1b55db8ef472ed6/0026747c-4995-48fa-bf4c-da542a03ba8f.jpg,https://media.weddingz.in/images/dd386e37e4f1a3943f601b28a569278a/3b546efc-481c-42c8-9823-56469ed88d34.jpg,https://media.weddingz.in/images/febcf2e32ca2ea667986acf46af24b5e/a98a3a0b-1a08-492f-8d33-535916df9fc9.jpg,https://media.weddingz.in/images/c915a0a2f2c207ef24d4e4cd226cbba8/a2339148-502d-4530-901d-80e41c0f79ee.jpg,https://media.weddingz.in/images/94b7828ddb36ec2535b5dcb71e4840a2/e1b58051-b4b9-4743-a99f-c5512b481c5e.jpg,https://media.weddingz.in/images/0cbe2847f25def059f78e29b3de4e1bc/5ce69d60-6765-44b7-88e6-bd4be09d1c57.jpg,https://media.weddingz.in/images/9c5bb6704276c5ba29f286b3eddfdd8d/7ccb2dac-a60d-4afc-a08a-1a1722ffd291.jpg,https://media.weddingz.in/images/b5e5288e5ba546c8bc417106e1b58712/9fffa829-ffea-407f-910d-bc71d1e7bf28.jpg,https://media.weddingz.in/images/0e44f445a5dbe5732893b7bb0dce2fee/18eba1a6-719a-4320-ba99-8eedcb32ac77.jpg,https://media.weddingz.in/images/997a25744c2243fbb4c558a2a4f3397e/164f691e-493f-49a2-bbe5-f3ab50f111d1.jpg,https://media.weddingz.in/images/d2a38377e1b76848219dc5e8bc94ed5d/589a8d40-c2e5-46e6-a6b1-1365815a72b7.jpg,https://media.weddingz.in/images/bb42ef4a3c059637f29eb24eaae91453/35675a71-6f5f-499e-8b79-e75166c02ce1.jpg,https://media.weddingz.in/images/6449f91b836de48fbcd934515896dcd2/99422a43-bb7b-4d9c-a9d9-519018b490c2.jpg,https://media.weddingz.in/images/ac7e2d1cf071dbd8a499576456c8599a/ee7fe8d2-51b5-42e8-a63e-d50d4425252e.jpg"
"Makeovers by Nikitha is a Bridal Makeup Artist based out of Bangalore . Makeovers by Nikitha's telephone number is ,,  Facebook page is , and address is Bengaluru, Karnataka 560001, India.,In terms of pricing Makeovers by Nikitha  offers various packages starting at Rs ,/-.,Has been viewed 12 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Makeovers by Nikitha at guaranteed prices and with peace of mind.","
		,Makeovers by Nikitha, Bangalore,		
	",tel:76-66-77-88-99,"
						Bengaluru, Karnataka 560001, India
					","https://media.weddingz.in/images/0b5daed1b49e83185d34ba8f26feedd6/b8cd099f-f18d-441d-b711-47d6f816a5a3.jpg,https://media.weddingz.in/images/f84ab7d80e4f0b350327e63fe486e16c/6c7dccf7-35ce-4936-ba1e-ed031265ec27.jpg,https://media.weddingz.in/images/cd07db571a57873fe27f0cd94ab9ad80/3be00c0b-5781-4aff-8fe2-e281ac1e24a9.jpg,https://media.weddingz.in/images/4d97f24b976f875aa4ef0605283dc425/d42a9fa4-35ba-4c3c-b940-0e19d0b85481.jpg,https://media.weddingz.in/images/36e67256b66192d1b7cd30ce55f88213/6298351a-8113-4643-8842-833088724eb8.jpg,https://media.weddingz.in/images/59bfde9f5a44edc610f9978d58c8e3d2/bcd286e2-1bf7-4374-a72c-b40ff1964315.jpg"
"Glamourdoll Makeup Services is a Bridal Makeup Artist based out of Whitefield, Bangalore . Glamourdoll Makeup Services's telephone number is ,,  Facebook page is , and address is Flat No:- SB-403,Sowparnika Skanda Apart Ments, Hoodi - Sadarmangala Road.,In terms of pricing Glamourdoll Makeup Services  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 0 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Glamourdoll Makeup Services at guaranteed prices and with peace of mind.","
		,Glamourdoll Makeup Services, Bangalore,		
	",tel:76-66-77-88-99,"
						Flat No:- SB-403,Sowparnika Skanda Apart Ments, Hoodi - Sadarmangala Road
					",https://media.weddingz.in/images/a8f8690c967416d7667e57ab0bdf8793/glamourdoll-makeup-services-makeup-artists-bangalore.jpg
"Rati Makeup Artist is a Bridal Makeup Artist based out of Bangalore . Rati Makeup Artist's telephone number is ,,  Facebook page is , and address is Bengaluru, Karnataka 560001, India.,In terms of pricing Rati Makeup Artist  offers various packages starting at Rs ,/-.,Has been viewed 83 times and shortlisted by 20 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Rati Makeup Artist at guaranteed prices and with peace of mind.","
		,Rati Makeup Artist, Bangalore,		
	",tel:76-66-77-88-99,"
						Bengaluru, Karnataka 560001, India
					","https://media.weddingz.in/images/4d374a030593170d48efe735178655f6/IMG-20161217-WA0078.jpg,https://media.weddingz.in/images/70f43003462176cc68868a66f7863df4/IMG-20161217-WA0078.jpg,https://media.weddingz.in/images/1ac07d9e948c455cb26feab6341ac0a9/IMG-20161217-WA0079.jpg,https://media.weddingz.in/images/e429b6909e168632c4b690226042d169/FB_IMG_1481478128935.jpg,https://media.weddingz.in/images/817c645c73e941e2f7ac4cb501d4933e/FB_IMG_1482151455001.jpg,https://media.weddingz.in/images/7da4e160c00917f666e73ffe2c325f2d/FB_IMG_1482151481605.jpg,https://media.weddingz.in/images/a11727a495f7af27fcb93e0308bdc412/1481970582785.jpg,https://media.weddingz.in/images/634372ac3cef9d2cf8bc5347460ccec1/IMG-20161217-WA0078.jpg"
"Vismaya Makeovers is a Bridal Makeup Artist based out of Malleshwaram, Bangalore . Vismaya Makeovers's telephone number is ,,  Facebook page is , and address is Margosa Rd, Malleshwaram, Bengaluru, Karnataka 560003, India.,In terms of pricing Vismaya Makeovers  offers various packages starting at Rs ,/-.,Has been viewed 19 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Vismaya Makeovers at guaranteed prices and with peace of mind.","
		,Vismaya Makeovers, Bangalore,		
	",tel:+918050783356,"
						Margosa Rd, Malleshwaram, Bengaluru, Karnataka 560003, India
					","https://media.weddingz.in/images/877a7cdbf7763002da6a107c9aceea9a/Vismaya_6.jpg,https://media.weddingz.in/images/c42070518badb9e5a5fe0dac853a3a55/Vismaya_5.jpg,https://media.weddingz.in/images/2a2a63f377a17cf33461e21937b9e737/Vismaya_8.jpg,https://media.weddingz.in/images/9c4828ad0a8f8a735429ace014b10831/Vismaya_4.jpg,https://media.weddingz.in/images/2658cf2d09b098c4d3317c6d1161a16f/Vismaya_1.jpg,https://media.weddingz.in/images/20cdbfa04dd5c52634972eb3eddc10f7/Vismaya_2.jpg,https://media.weddingz.in/images/1001328c3583950c962173723b7145c9/Vismaya_7.jpg"
"Queens Bridal is a Bridal Makeup Artist based out of Bangalore . Queens Bridal's telephone number is ,,  address is 6, 1st C Cross Rd, Sudhama Nagar, Bengaluru, Karnataka 560027, India.,In terms of pricing Queens Bridal  offers various packages starting at Rs ,/-.,Has been viewed 2 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Queens Bridal at guaranteed prices and with peace of mind.","
		,Queens Bridal, Bangalore,		
	",tel:+919945824513,"
						6, 1st C Cross Rd, Sudhama Nagar, Bengaluru, Karnataka 560027, India
					","https://media.weddingz.in/images/b014c130bd08085d499ae2b6be0876e1/IMG-20160807-WA0009.jpg,https://media.weddingz.in/images/de4b5b7d6505a308d0cc00cc76c364af/IMG-20160815-WA0010.jpg,https://media.weddingz.in/images/eb4974aa8502dac3c5111f0340afc138/IMG-20160815-WA0006.jpg,https://media.weddingz.in/images/d1df229a9010b7c29d490f33a74e9266/IMG-20160731-WA0011.jpg,https://media.weddingz.in/images/1dbcf38c17d647ea616f31ede65771d0/IMG-20160819-WA0004.jpg,https://media.weddingz.in/images/4fb17e86ae3b98c1308c667f043d7ce0/20160817_145753.jpg,https://media.weddingz.in/images/ec2e6352dfac3bd6eca5caaf7daa88ce/20160615_093633.jpg"
"Anu Chugh is a Bridal Makeup Artist based out of Bangalore . Anu Chugh's telephone number is ,,  address is Akme Harmony, Bellandur, Bengaluru, Karnataka 560103, India.,In terms of pricing Anu Chugh  offers various packages starting at Rs ,/-.,Has been viewed 2 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Anu Chugh at guaranteed prices and with peace of mind.","
		,Anu Chugh, Bangalore,		
	",tel:+919980875812,"
						Akme Harmony, Bellandur, Bengaluru, Karnataka 560103, India
					","https://media.weddingz.in/images/eb6cee0727088851757930546fb5b862/IMG-20160803-WA0030.jpg,https://media.weddingz.in/images/e25ee09f4901cbd0b287dbe68ab42ce4/IMG-20160803-WA0036.jpg,https://media.weddingz.in/images/bed2e7732d1c67f95ac15148dcae7c6a/IMG-20160803-WA0018.jpg,https://media.weddingz.in/images/524a6ad41fda4099ae9e942aa20f32f9/IMG-20160803-WA0026.jpg,https://media.weddingz.in/images/73fd7769424af4e1d253cfe6409754bf/IMG-20160803-WA0034.jpg,https://media.weddingz.in/images/6f17be61a8236baa349ad578028474be/IMG-20160803-WA0020.jpg,https://media.weddingz.in/images/47d7d7eef9931c969479770981f850ee/IMG-20160803-WA0041.jpg,https://media.weddingz.in/images/08bbf4856c0b8d89abee01a3aa828afa/IMG-20160803-WA0047.jpg,https://media.weddingz.in/images/1bacd0b541a13c394205fd5f81139c87/IMG-20160803-WA0050.jpg,https://media.weddingz.in/images/65d176c069a50f92d5e16a3a232c3f8c/IMG-20160803-WA0043.jpg,https://media.weddingz.in/images/e0b40cf6bec3909f80c37e46a4380f7a/IMG-20160803-WA0049.jpg,https://media.weddingz.in/images/c6d8733fed1ed8f5a1cfbb63da11ccdf/IMG-20160803-WA0051.jpg,https://media.weddingz.in/images/5b3358886f765c97382e2e334a153dd1/IMG-20160803-WA0055.jpg"
"Brides & Beyond By Sanam Jain is a Bridal Makeup Artist based out of Bangalore . Brides & Beyond By Sanam Jain's telephone number is ,,  Facebook page is , and address is Nagarbhavi, Bengaluru, Karnataka 560072, India.,In terms of pricing Brides & Beyond By Sanam Jain  offers various packages starting at Rs ,/-.,Has been viewed 40 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Brides & Beyond By Sanam Jain at guaranteed prices and with peace of mind.","
		,Brides & Beyond By Sanam Jain, Bangalore,		
	",tel:+919740180111,"
						Nagarbhavi, Bengaluru, Karnataka 560072, India
					","https://media.weddingz.in/images/45cbd452fd88817ff8ffa620575f352f/FB_IMG_1466013022879 (1).jpg,https://media.weddingz.in/images/f3ac08a6217f642bb28af98e375f4c82/FB_IMG_1441607261726.jpg,https://media.weddingz.in/images/94abc505d311abdcb3293560da12904c/FB_IMG_1441607236053.jpg,https://media.weddingz.in/images/23d8d1976d46ce057f73f3e0ddc370d8/FB_IMG_1441607318093.jpg,https://media.weddingz.in/images/5ca430b8c6c5693443bf9547ab5e34dd/FB_IMG_1441607370723.jpg,https://media.weddingz.in/images/bf1ae34b10ea065f5c760b018b639071/FB_IMG_1444715814441.jpg,https://media.weddingz.in/images/1dd4d708056f36061a5c59bd8c016127/FB_IMG_1442937519820.jpg,https://media.weddingz.in/images/f19c753929aa23fd05c42b4c917c2da7/FB_IMG_1444715824468.jpg,https://media.weddingz.in/images/6c9259820b7c5888f210e7d283a7813e/FB_IMG_1444715921845.jpg,https://media.weddingz.in/images/17dc97ec8cd91f0f1c9d98cb837d560e/FB_IMG_1441607374304-1.jpg,https://media.weddingz.in/images/f9780b001707484806edb9ef15739fc5/IMG-20140909-WA0034.jpg,https://media.weddingz.in/images/57f28a9b73fdd3f743423923e7201907/PicsArt_1451745751058_517x768.jpg"
"Makeover By Lavanya  is a Bridal Makeup Artist based out of Koramangala, Bangalore . Makeover By Lavanya 's telephone number is ,,  Facebook page is , and address is Lakshmi Devi Temple Rd, Koramangala 8th Block, Adugodi, Bengaluru, Karnataka 560030, India.,In terms of pricing Makeover By Lavanya   offers various packages starting at Rs ,/-.,Has been viewed 24 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Makeover By Lavanya  at guaranteed prices and with peace of mind.","
		,Makeover By Lavanya , Bangalore,		
	",tel:76-66-77-88-99,"
						Lakshmi Devi Temple Rd, Koramangala 8th Block, Adugodi, Bengaluru, Karnataka 560030, India
					","https://media.weddingz.in/images/e1dc961a2c9ca1cc64c51813a388adbf/Make up_ lavanya 2.jpg,https://media.weddingz.in/images/a77baf92c93e4842454ad95bdd3e8e33/PhotoGrid_1473301294451.jpg,https://media.weddingz.in/images/e32ad3db70a806de64d4efc51ca9e2ce/PhotoGrid_1473301457993.jpg,https://media.weddingz.in/images/4a269fe74525c863ead289e966fef7d6/C360_2016-10-13-16-36-10-376.jpg,https://media.weddingz.in/images/21e8fcd91cc78151161dedb405927a5e/C360_2016-10-14-22-09-10-851.jpg,https://media.weddingz.in/images/37881a8b72942c9a641caf4f3d301653/C360_2016-10-14-22-10-53-946.jpg,https://media.weddingz.in/images/9f5fae539b1dfe747e184c944d275f6b/PhotoGrid_1472811359051.jpg,https://media.weddingz.in/images/559aa72339d08a7fc95796867f6e3042/PhotoGrid_1472811408840.jpg,https://media.weddingz.in/images/e4c8ed46950ba0648b021a408e310e93/PhotoGrid_1472750085239.jpg,https://media.weddingz.in/images/f587ac30cf050b067f26d47960498a69/PhotoGrid_1472811582062.jpg,https://media.weddingz.in/images/ecdd9aad0930942dd60835c5f0dd673d/PicsArt_09-02-01.37.16.jpg,https://media.weddingz.in/images/8f8be460851d3305953367b4b10fc127/PhotoGrid_1472749866662.jpg,https://media.weddingz.in/images/a5736a2524c39178dc942a7fd9104406/C360_2016-10-14-22-10-08-301.jpg,https://media.weddingz.in/images/1094aa0b4f7841cef134961e1909494f/C360_2016-10-14-22-07-46-930.jpg,https://media.weddingz.in/images/de36613236484ef7d96d5772f3aa1362/PhotoGrid_1472799909200.jpg,https://media.weddingz.in/images/b38daeef33177ec44922bb17dce7bcdd/PhotoGrid_1476037319242.jpg"
"Make up by Tanya Kukreja is a Bridal Makeup Artist based out of Malleshwaram, Bangalore . Make up by Tanya Kukreja's telephone number is ,,  Facebook page is , and address is Bengaluru, Karnataka 560055, India.,In terms of pricing Make up by Tanya Kukreja  offers various packages starting at Rs ,/-.,Has been viewed 7 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Make up by Tanya Kukreja at guaranteed prices and with peace of mind.","
		,Make up by Tanya Kukreja, Bangalore,		
	",tel:+919902784881,"
						Bengaluru, Karnataka 560055, India
					","https://media.weddingz.in/images/900c302ebdb8b962659429f91acd0f81/thumb_IMG_5714_1024.jpg,https://media.weddingz.in/images/f67534c15d27b40a6ec8151ab4029c58/thumb_IMG_5672_1024.jpg,https://media.weddingz.in/images/804dcf1802d68dc82a475372296578e1/thumb_IMG_5681_1024.jpg,https://media.weddingz.in/images/108cd74a540c429794499fb8252338a8/thumb_IMG_5674_1024.jpg,https://media.weddingz.in/images/94cafd70c721a9994cc4550b3609205a/thumb_IMG_5684_1024.jpg,https://media.weddingz.in/images/4b8fc9cabcc755f4a563fef7bcf16657/thumb_IMG_5689_1024.jpg,https://media.weddingz.in/images/f4e078ad09a888717b0779e0f28609ad/thumb_IMG_5695_1024.jpg,https://media.weddingz.in/images/b6d23ac2fad0ca4a06e5ef52c691a8ba/thumb_IMG_5691_1024.jpg,https://media.weddingz.in/images/e1856caf59548959ec329904efb81ade/thumb_IMG_5699_1024.jpg,https://media.weddingz.in/images/57936273a1df3d0f327f39225411f329/thumb_IMG_5706_1024.jpg,https://media.weddingz.in/images/b7959cd07864701f1c7efff1501d14ec/thumb_IMG_5697_1024.jpg,https://media.weddingz.in/images/a3bedf84099633720f073dc81007b817/thumb_IMG_5704_1024.jpg,https://media.weddingz.in/images/2441b754f7e27c32ebac73a1b18760bc/thumb_IMG_5712_1024.jpg"
