photoghraphy_description,photoghraphy_title,photoghraphy_number,photoghraphy_address,photoghraphy_photos
"Annapurna Party and Wedding Organizers  - Caterers is a caterer based out of Bangalore . Annapurna Party and Wedding Organizers  - Caterers's telephone number is ,,  address is 161, 80 Feet Main Rd, 2 Stage, Nagarbhavi, Bangalore, Karnataka- 560072, India..,Annapurna Party and Wedding Organizers  - Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Annapurna Party and Wedding Organizers  - Caterers  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Annapurna Party and Wedding Organizers  - Caterers at guaranteed prices and with peace of mind.","
		,Annapurna Party and Wedding Organizers  - Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						161, 80 Feet Main Rd, 2 Stage, Nagarbhavi, Bangalore, Karnataka- 560072, India.
					","https://media.weddingz.in/images/0d55dfddbbbdff3ced3080bc9538bc0b/annapurna_party_and_wedding_organizers_caterers_caterers_bangalore_20869.jpg,https://media.weddingz.in/images/d4d92a0b9fa2d542fb658bc9566e6b2b/annapurna_party_and_wedding_organizers_caterers_caterers_bangalore_20869.jpg,https://media.weddingz.in/images/80c6b8ba6a0dca90681bdae383d86e1c/annapurna_party_and_wedding_organizers_caterers_caterers_bangalore_20870.jpg,https://media.weddingz.in/images/ad90bd77ec33a80f63c1abf9108f18db/annapurna_party_and_wedding_organizers_caterers_caterers_bangalore_20871.jpg,https://media.weddingz.in/images/6f41ed5b8b71bffd832a4763014a3b39/annapurna_party_and_wedding_organizers_caterers_caterers_bangalore_20872.jpg"
"A Haridas Bhat & Sons is a caterer based out of Bangalore . A Haridas Bhat & Sons's telephone number is ,,  address is 77, 13th Cross Rd, Agrahara Dasarahalli, Rajajinagar, Bangalore, Karnataka- 560010, India..,A Haridas Bhat & Sons is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing A Haridas Bhat & Sons  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book A Haridas Bhat & Sons at guaranteed prices and with peace of mind.","
		,A Haridas Bhat & Sons, Bangalore,		
	",tel:76-66-77-88-99,"
						77, 13th Cross Rd, Agrahara Dasarahalli, Rajajinagar, Bangalore, Karnataka- 560010, India.
					","https://media.weddingz.in/images/9e1343d79cf5dcdccf8ddf0fb26c6391/a_haridas_bhat_sons_caterers_bangalore_20873.jpg,https://media.weddingz.in/images/1bdb3b8374d70088b1fef0b5feb4c353/a_haridas_bhat_sons_caterers_bangalore_20873.jpg,https://media.weddingz.in/images/13d9bbeec9da928c26af2361d6ddbd18/a_haridas_bhat_sons_caterers_bangalore_20874.jpg,https://media.weddingz.in/images/95b2bb4baef52472cb41d3227ce14d4c/a_haridas_bhat_sons_caterers_bangalore_20875.jpg,https://media.weddingz.in/images/529d87084f59b03b4ae8c570ffc70132/a_haridas_bhat_sons_caterers_bangalore_20876.jpg"
"Vasudev Adigas is a caterer based out of Bangalore . Vasudev Adigas's telephone number is ,,  address is Jogeshwari East, Mumbai, Maharashtra, India.,Vasudev Adigas is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Vasudev Adigas  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Vasudev Adigas at guaranteed prices and with peace of mind.","
		,Vasudev Adigas, Bangalore,		
	",tel:76-66-77-88-99,"
						Jogeshwari East, Mumbai, Maharashtra, India
					","https://media.weddingz.in/images/bbdae95903fca6fe1214c33827d941e6/vasudev_adigas_caterers_bangalore_22138.jpg,https://media.weddingz.in/images/7c98990dc14a6db87e34a49a7c13c1a6/vasudev_adigas_caterers_bangalore_22138.jpg,https://media.weddingz.in/images/0963c85920aaa2232f0456b22c9ee01f/vasudev_adigas_caterers_bangalore_22139.jpg,https://media.weddingz.in/images/b02aee6563a8de47ba1d3be9106a2e9e/vasudev_adigas_caterers_bangalore_22140.jpg"
"The Infantry Hotel - Catering is a caterer based out of Bangalore . The Infantry Hotel - Catering's telephone number is ,, The Infantry Hotel - Catering website address is ,, address is Bengaluru, Karnataka 560001, India.,The Infantry Hotel - Catering is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing The Infantry Hotel - Catering  offers various packages starting at Rs ,/-.,Has been viewed 2 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book The Infantry Hotel - Catering at guaranteed prices and with peace of mind.","
		,The Infantry Hotel - Catering, Bangalore,		
	",tel:76-66-77-88-99,"
						Bengaluru, Karnataka 560001, India
					","https://media.weddingz.in/images/3624abaef706c594a1a0449bdc3748f8/the_infantry_hotel_catering_caterers_bangalore_20753.jpg,https://media.weddingz.in/images/818866687414f31f39557a57be27f625/the_infantry_hotel_catering_caterers_bangalore_20753.jpg,https://media.weddingz.in/images/87b526e64cf347503f14d97310399f36/the_infantry_hotel_catering_caterers_bangalore_20754.jpg,https://media.weddingz.in/images/6768cfe7f6f0a66fd46b58bb3717b7c3/the_infantry_hotel_catering_caterers_bangalore_20755.jpg,https://media.weddingz.in/images/0f29e9b6bd8260a52e930ef3b4026203/the_infantry_hotel_catering_caterers_bangalore_20756.jpg"
"Sri Lakshmi Caterers is a caterer based out of Bangalore . Sri Lakshmi Caterers's telephone number is ,,  address is 113/17-1, Old Madras Road, Near Adarsha Theatre, Ulsoor, Bangalore 560008.,Sri Lakshmi Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Sri Lakshmi Caterers  offers various packages starting at Rs ,/-.,Has been viewed 5 times and shortlisted by 2 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Sri Lakshmi Caterers at guaranteed prices and with peace of mind.","
		,Sri Lakshmi Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						113/17-1, Old Madras Road, Near Adarsha Theatre, Ulsoor, Bangalore 560008
					","https://media.weddingz.in/images/0248a278043117228f35e311a2cfac4e/sri_lakshmi_caterers_caterers_bangalore_20734.jpg,https://media.weddingz.in/images/d282185e2392a34b7903141e1982f265/sri_lakshmi_caterers_caterers_bangalore_20734.jpg,https://media.weddingz.in/images/9f657e44c207dd5a6366e6402a599348/sri_lakshmi_caterers_caterers_bangalore_20735.jpg,https://media.weddingz.in/images/471640402f9a91ec7dacbf8084966698/sri_lakshmi_caterers_caterers_bangalore_20736.jpg,https://media.weddingz.in/images/c8b5038725e93c675a1d0e0a71805619/sri_lakshmi_caterers_caterers_bangalore_20737.jpg,https://media.weddingz.in/images/b611c45d90e878e3d364bde0f2062d2f/sri_lakshmi_caterers_caterers_bangalore_20738.jpg,https://media.weddingz.in/images/524bd6b6748a7822948198bba4c91a4b/sri_lakshmi_caterers_caterers_bangalore_20739.jpg"
"Swaad Group is a caterer based out of RajaRajeshwari Nagar, Bangalore . Swaad Group's telephone number is ,,  address is No. 17/1-1,3rd cross, Ashwathkette Road, Kasturibanagar, Bangalore- 560026.,In terms of pricing Swaad Group  offers various packages starting at Rs ,/-.,Has been viewed 2 times and shortlisted by 0 customers over the last month.,There are 0 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Swaad Group at guaranteed prices and with peace of mind.","
		,Swaad Group, Bangalore,		
	",tel:76-66-77-88-99,"
						No. 17/1-1,3rd cross, Ashwathkette Road, Kasturibanagar, Bangalore- 560026
					",https://media.weddingz.in/images/887e0ba066dc19d452dc38e8547ccf2e/swaad-group-a-premium-event-caterer-in-bangalore-caterers-bangalore.jpg
"Solitaire Foods & Beverages is a caterer based out of Bangalore . Solitaire Foods & Beverages's telephone number is ,,  address is HSR Layout, Bengaluru, Karnataka, India.,Solitaire Foods & Beverages is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Solitaire Foods & Beverages  offers various packages starting at Rs ,/-.,Has been viewed 3 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Solitaire Foods & Beverages at guaranteed prices and with peace of mind.","
		,Solitaire Foods & Beverages, Bangalore,		
	",tel:76-66-77-88-99,"
						HSR Layout, Bengaluru, Karnataka, India
					","https://media.weddingz.in/images/8842e1be7f47b4361d2c84b4e2432406/solitaire_foods_beverages_caterers_bangalore_20744.jpg,https://media.weddingz.in/images/30b6112c2d74ea54bb138369afab92f1/solitaire_foods_beverages_caterers_bangalore_20744.jpg,https://media.weddingz.in/images/18bcca2bc5184f5ebcded2710c1ae07f/solitaire_foods_beverages_caterers_bangalore_20745.jpg,https://media.weddingz.in/images/cb17277f24f9f25a187ec5852f4dc350/solitaire_foods_beverages_caterers_bangalore_20746.jpg,https://media.weddingz.in/images/4473248a2f60ac948e7fba627ba2bdad/solitaire_foods_beverages_caterers_bangalore_20747.jpg,https://media.weddingz.in/images/ad4632978bd29b136e50de7081733e28/solitaire_foods_beverages_caterers_bangalore_20748.jpg"
"Sagar Caterers is a caterer based out of Bangalore . Sagar Caterers's telephone number is ,, Sagar Caterers website address is ,, Facebook page is , and address is Bengaluru, Karnataka, India.,Sagar Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Sagar Caterers  offers various packages starting at Rs ,/-.,Has been viewed 2 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Sagar Caterers at guaranteed prices and with peace of mind.","
		,Sagar Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						Bengaluru, Karnataka, India
					","https://media.weddingz.in/images/eaac8063d5de8723086f05b59c9d9202/sagar_caterers_caterers_bangalore_17826.jpg,https://media.weddingz.in/images/d2c1b0fd46ff916c06322dbe78b24aad/sagar_caterers_caterers_bangalore_17826.jpg,https://media.weddingz.in/images/82b830d468e5f06cb1f49064acfa2003/sagar_caterers_caterers_bangalore_17827.jpg,https://media.weddingz.in/images/2bab7add081f0f340707766d1a2e4b66/sagar_caterers_caterers_bangalore_17828.jpg,https://media.weddingz.in/images/6d593f63e4e3a1fdf8ff576c1386d72a/sagar_caterers_caterers_bangalore_17829.jpg,https://media.weddingz.in/images/c333fd7c2d8c16800883decee04d06cd/sagar_caterers_caterers_bangalore_17830.jpg,https://media.weddingz.in/images/11d6607ab257c6b4296ec6bd85692db4/sagar_caterers_caterers_bangalore_17831.jpg,https://media.weddingz.in/images/db0c19052a91350cfd01d26e5eb18ba7/sagar_caterers_caterers_bangalore_17832.jpg,https://media.weddingz.in/images/2ac37bb178538fc0d2caf052bd1d3dbe/sagar_caterers_caterers_bangalore_17833.jpg,https://media.weddingz.in/images/b09a4918b0f7a685890e83178ba5c468/sagar_caterers_caterers_bangalore_17834.jpg,https://media.weddingz.in/images/eedc932d74d6e47b9e8cec249be18610/sagar_caterers_caterers_bangalore_17835.jpg,https://media.weddingz.in/images/a349c5bfa9c19e7893cef24d4f5c0ebe/sagar_caterers_caterers_bangalore_17838.jpg,https://media.weddingz.in/images/45b55cdaefe7cc02f9e7e00f5fa5c3e6/sagar_caterers_caterers_bangalore_17839.jpg,https://media.weddingz.in/images/080df6cabc3699cc479f47a4159e099a/sagar_caterers_caterers_bangalore_17840.jpg,https://media.weddingz.in/images/45c63e268555d6d6174a28645b2ae040/sagar_caterers_caterers_bangalore_17841.jpg,https://media.weddingz.in/images/f0479ccf16aa4e6f390399239bd3e5bd/sagar_caterers_caterers_bangalore_17842.jpg,https://media.weddingz.in/images/a3de1b04307f5c4fa0565ac61f315530/sagar_caterers_caterers_bangalore_17843.jpg,https://media.weddingz.in/images/5ef55a796f8468c3728feb1cb50df8dc/sagar_caterers_caterers_bangalore_17844.jpg"
"Atmosfire- An outdoor catering unit of Barbeque Nation is a caterer based out of Koramangala, Bangalore . Atmosfire- An outdoor catering unit of Barbeque Nation's telephone number is ,,  Facebook page is , and address is Indiranagar, CMH Road,.,In terms of pricing Atmosfire- An outdoor catering unit of Barbeque Nation  offers various packages starting at Rs ,/-.,Has been viewed 0 times and shortlisted by 0 customers over the last month.,There are 0 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Atmosfire- An outdoor catering unit of Barbeque Nation at guaranteed prices and with peace of mind.","
		,Atmosfire- An outdoor catering unit of Barbeque Nation, Bangalore,		
	",tel:76-66-77-88-99,"
						Indiranagar, CMH Road,
					","https://media.weddingz.in/images/972180885b4b0f5d4d53cae506651fa0/atmosfire-an-outdoor-catering-unit-of-barbeque-nation-caterers-bangalore.jpg,https://media.weddingz.in/images/33bd278c79e010f2fc1d08ab3e91836c/atmosfire-an-outdoor-catering-unit-of-barbeque-nation-atmosfire-catering-images-bangalore.jpg,https://media.weddingz.in/images/3dbdbe31744c59a9eb388b577effb00a/atmosfire-an-outdoor-catering-unit-of-barbeque-nation-atmosfire-catering-images-bangalore-1.jpg,https://media.weddingz.in/images/01ec434139e8cdee6bf159332d39f283/atmosfire-an-outdoor-catering-unit-of-barbeque-nation-atmosfire-catering-images-bangalore.jpg,https://media.weddingz.in/images/af974d2bbf2ba12efd2e9240c1bc88b2/atmosfire-an-outdoor-catering-unit-of-barbeque-nation-atmosfire-catering-images-bangalore-2.jpg,https://media.weddingz.in/images/4d44a2ee420f18ad321f025e096544e8/atmosfire-an-outdoor-catering-unit-of-barbeque-nation-atmosfire-catering-images-bangalore-1.jpg,https://media.weddingz.in/images/0cfffa5de7cfb5ba844466b4f7d861ca/atmosfire-an-outdoor-catering-unit-of-barbeque-nation-atmosfire-catering-images-bangalore-2.jpg,https://media.weddingz.in/images/c3317fa2cff575ef584b4c150078ab13/atmosfire-an-outdoor-catering-unit-of-barbeque-nation-atmosfire-catering-images-bangalore-3.jpg,https://media.weddingz.in/images/0910f84bc9df2a38ad3de2b9515fb63a/atmosfire-an-outdoor-catering-unit-of-barbeque-nation-atmosfire-catering-images-bangalore-3.jpg"
"Wecare Foods & Beverages - Memory Maker is a caterer based out of Bangalore . Wecare Foods & Beverages - Memory Maker's telephone number is ,,  address is 3, Doddanekundi, Kartik Nagar, Bengaluru, Karnataka 560037, India.,Wecare Foods & Beverages - Memory Maker is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Wecare Foods & Beverages - Memory Maker  offers various packages starting at Rs ,/-.,Has been viewed 13 times and shortlisted by 2 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Wecare Foods & Beverages - Memory Maker at guaranteed prices and with peace of mind.","
		,Wecare Foods & Beverages - Memory Maker, Bangalore,		
	",tel:76-66-77-88-99,"
						3, Doddanekundi, Kartik Nagar, Bengaluru, Karnataka 560037, India
					","https://media.weddingz.in/images/baf61488d323ac156de3afc00aa352ab/unnamed.jpg,https://media.weddingz.in/images/9421369999643f62499a170bbff99ddf/wecare_foods_beverages_memory_maker_caterers_bangalore_20730.jpg,https://media.weddingz.in/images/5518bc931829e9038bfda563ac54126d/wecare_foods_beverages_memory_maker_caterers_bangalore_20731.jpg,https://media.weddingz.in/images/2e396dbd6827a2aa095f5ad965ac4658/wecare_foods_beverages_memory_maker_caterers_bangalore_20732.jpg,https://media.weddingz.in/images/4ac5f2ca4885bf7c55219887ce518943/wecare_foods_beverages_memory_maker_caterers_bangalore_20733.jpg"
