name,id,,,
Warangal highway,32202,,"""32202"",","""32202"","
West Marredpally,4312,,"""4312"",","""4312"","
Whitefields,4650,,"""4650"",","""4650"","
Yadagirigutta,46118,,"""46118"",","""46118"","
Yakhutpura,42752,,"""42752"",","""42752"","
Yamnampet,46073,,"""46073"",","""46073"","
Yapral,4315,,"""4315"",","""4315"","
Yousufguda,4318,,"""4318"",","""4318"","
Zahirabad,37607,,"""37607"",","""37607"","
,,,""""",",""""","
