status,Super_builduparea,project_name,total_unit,area,builder_overview,Builder_price,project_add_spec,builder_desciption,unit_type,possesion_date,Apartment,link,location,project_by,amenities,project_spec,project_desciption,project_overview,rera_id
On Hold,"500 - 1,020 sq ft",Prabhavathi Grand View,370,1020 sq ft(3BHK+2T), (11   Years of Experience ) (53   Total Projects ) (4   Ongoing Projects ) (  RERA ID ),₹ 13.00 L - ₹ 26.52 L,"{u'Walls': {u'Toilets:': u'Glazed Tiles Dado up to 7 Feet Height Above Platform', u'Exterior:': u'Weather Proof Paint', u'Kitchen:': u'Ceramic Tiles Dado', u'Interior:': u'Oil Bound Distemper'}, u'Fittings': {u'Toilets:': u'Jaguar Fittings', u'Kitchen:': u'Granite Platform with Stainless Steel Sink'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified Tiles', u'Balcony:': u'Ceramic Tiles', u'Master Bedroom:': u'Wooden Flooring', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Flush Shutters', u'Main:': u'Teak Wood Frame'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed Copper Wiring', u'Lobby:': u'Polished Tandoor Stone', u'Frame Structure:': u'RCC Frame', u'Windows:': u'Powder Coated Aluminium Sliding'}}","Prabhavathi Builders & Developers Pvt Ltd. is a renowned real estate organisation which was established in 2007. The company’s mission is spearheaded by its Managing Director, B E Praveen Kumar and has a major presence across Bangalore. It has executed around 35 projects in all in the residential domain. Unique Selling Point Prabhavathi Builders adopts the best construction practices and focuses on the timely execution of projects. All the projects executed by the company are located a... more",3 BHK,Possession started from: Oct'17,"1, 2, 3 BHK",https://www.proptiger.com/bangalore/sarjapur/prabhavathi-grand-view-656474,Sarjapur,Prabhavathi, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Rain Water Harvesting  6: Intercom  7: 24 X 7 Security  8: Jogging Track  9: Power Backup  10: Landscaped Gardens  11: Indoor Games  12: Car Parking  13: Multipurpose Room  14: Lift Available  15: Vaastu Compliant ,"{u'Apartment': u'1, 2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'500\xa0-\xa01,020\xa0sq ft', u'Builder price': u'\u20b9\xa013.00 L\xa0-\xa0\u20b9\xa026.52 L'}",,"{u'Status': u'On Hold', u'Total Area': u'2\xa0Acres', 'total_unit': u'370', u'Possession Date(s)': u""Oct'17"", u'Launch Date': u""Mar'15"", u'Availability': u'None'}",
Pre Launch,"996 - 1,512 sq ft",Shri Viola Oak,200,1512 sq ft(3BHK+3T), (8   Years of Experience ) (4   Total Projects ) (2   Ongoing Projects ) (  RERA ID ),₹ 31.87 L - ₹ 48.38 L,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado up to 7 Feet Height Above Platform', u'Exterior:': u'Cement Based Paint', u'Kitchen:': u'Ceramic Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Oil Bound Distemper'}, u'Fittings': {u'Toilets:': u'Branded EWC with Porcelain Cistern', u'Kitchen:': u'Modular Kitchen with Chimney, HOB & Exhaust Fan'}, u'Flooring': {u'Toilets:': u'Anti Skid Ceramic Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Balcony:': u'Anti Skid Ceramic Tiles'}, u'Doors': {u'Internal:': u'Sal Wood Frame', u'Main:': u'Teak Wood Frame'}, u'Others': {u'Switches:': u'Modular Switches', u'Points:': u'Living', u'Wiring:': u'Concealed Copper Wiring', u'Frame Structure:': u'RCC Framed Structure with Concrete Block Masonry Walls', u'Windows:': u'Aluminum Frames with Float Glass'}}",,3 BHK,Possession date: Feb'20,"2, 3 BHK",https://www.proptiger.com/bangalore/sarjapur/shri-diya-viola-oak-780680,Sarjapur,Shri Diya, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Intercom  6: 24 X 7 Security  7: Jogging Track  8: Power Backup  9: Landscaped Gardens  10: Indoor Games  11: Car Parking  12: Lift Available ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'996\xa0-\xa01,512\xa0sq ft', u'Builder price': u'\u20b9\xa031.87 L\xa0-\xa0\u20b9\xa048.38 L'}","Viola Oak by Shri Diya is located in Sarjapur, Bengaluru. It offers premium apartments. Price is made available on request. The amenities include a gymnasium, a swimming pool, a children’s play area, a club house, an intercom, 24x7 security, a jogging track, a power backup, landscaped gardens, a car parking, an indoor games, a lift and many others. Situated towards the south-east end of Bengaluru, Sarjapur Road is a fast developing part of the city that enjoys an excellent connectivity to the key IT hubs around. The International Airport is at a distance of 50 kilometres. Price per square feet is Rs4, 565. Puravankara, BM Developers, Sattva Group, First Futuristic Holding, etc. are some of the prominent real estate developers. It also hosts a number of schools, hospitals and shopping centres.","{u'Possession Date(s)': u""Feb'20"", u'Status': u'Pre Launch', u'Total Area': u'3.5\xa0Acres', 'total_unit': u'200', u'Availability': u'New'}",
Under Construction,"1,092 - 1,673 sq ft",Atco Sapphire,150,1673 sq ft(3BHK+3T), (1   Total Projects ) (1   Ongoing Projects ) (  RERA ID ),₹ 39.31 L - ₹ 60.23 L,"{u'Walls': {u'Toilets:': u'Glazed Tiles Dado', u'Exterior:': u'Emulsion Paint', u'Kitchen:': u'Ceramic Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Sanitary Fittings', u'Kitchen:': u'Granite Platform with Stainless Steel Sink'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified Tiles', u'Balcony:': u'Anti Skid Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Main:': u'Teak Wood Frame', u'Internal:': u'Moulded, Panned'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed Copper Wiring', u'Frame Structure:': u'RCC Frame', u'Windows:': u'UPVC'}}",,3 BHK,Possession date: Dec'18,"2, 3 BHK",https://www.proptiger.com/bangalore/sarjapur/atco-projects-sapphire-1291032,Sarjapur,Atco Projects, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Rain Water Harvesting  6: Intercom  7: Jogging Track  8: Power Backup  9: Landscaped Gardens  10: Car Parking  11: Lift Available  12: Vaastu Compliant  13: 24 X 7 Security ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,092\xa0-\xa01,673\xa0sq ft', u'Builder price': u'\u20b9\xa039.31 L\xa0-\xa0\u20b9\xa060.23 L'}","Sarjapur in Bengaluru is a growing region which has many projects going on. The Atco Projects Sapphire Company is offering premium apartments in this region in a project which is still under construction. There are many facilities nearby this area like Banks, ATMs, restaurants, petrol pumps, shopping mall, higher education facilities, commercial complex, Hospitals, parks, schools, play schools, and much more. The area is also well accessible from all the parts of the city. Other amenities like intercom services, power back up system, and a childrenâ€™s a playground is also provided by the project. The price of the apartments is based on the request value.","{u'Status': u'Under Construction', u'Total Area': u'1.72\xa0Acres', 'total_unit': u'150', u'Possession Date(s)': u""Dec'18"", u'Launch Date': u""Dec'14"", u'Availability': u'New'}",
Under Construction,"750 - 1,750 sq ft",BCD Paradiso,264,1750 sq ft(3BHK+3T + Study Room), (1   Total Projects ) (1   Ongoing Projects ) (  RERA ID ),₹ 28.13 L - ₹ 65.63 L,"{u'Walls': {u'Toilets:': u'Glazed Tiles Dado up to 7 Feet Height Above Platform', u'Kitchen:': u'Glazed Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Branded EWC with Porcelain Cistern', u'Kitchen:': u'Granite Platform with Stainless Steel Sink'}, u'Flooring': {u'Toilets:': u'Ceramic Tiles', u'Kitchen:': u'Vitrified Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Master Bedroom:': u'Vitrified Tiles with Skirting', u'Other Bedroom:': u'Vitrified Tiles with Skirting'}, u'Doors': {u'Internal:': u'Flush Shutters', u'Main:': u'Teak Wood Frame and Shutter'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed Copper Wiring', u'Frame Structure:': u'RCC Frame', u'Windows:': u'Aluminum Sliding Window with Mosquito Mesh Shutters'}}",,3 BHK,Possession date: Dec'18,"1, 2, 3 BHK",https://www.proptiger.com/bangalore/devanahalli/bcd-india-group-paradiso-672044,Devanahalli,BCD India Group, 1: Children's play area  2: Jogging Track  3: Car Parking  4: Gymnasium  5: Swimming Pool  6: Club House  7: Intercom  8: 24 X 7 Security  9: Power Backup  10: Landscaped Gardens  11: Indoor Games ,"{u'Apartment': u'1, 2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'750\xa0-\xa01,750\xa0sq ft', u'Builder price': u'\u20b9\xa028.13 L\xa0-\xa0\u20b9\xa065.63 L'}","The BCD India Group Paradiso Group is offering great apartments in the Devanahalli region of Bangalore. These apartments are still in an under construction form and the project is going to be launched soon, which has all the necessary provisions like bank, atm, hospital, bus station, restaurant, school, petrol pump etc nearby. The other facilities of the project are a beautiful playground for the children, an intercom service, 24 hours security back up facility, gym, swimming pool, club house, a beautiful garden, a community hall and facility of indoor games and ample space for parking a car for each owner of the apartments.","{u'Status': u'Under Construction', u'Total Area': u'17\xa0Acres', 'total_unit': u'264', u'Possession Date(s)': u""Dec'18"", u'Launch Date': u""Jul'15"", u'Availability': u'New'}",RERA ID: PR/KN/170731/000142
On Hold,"497 - 3,644 sq ft",Jupiter GR Commanders City,988,3644 sq ft(4BHK+4T), (13   Total Projects ) (5   Ongoing Projects ) (  RERA ID ),₹ 16.15 L - ₹ 1.18 Cr,"{u'Walls': {u'Toilets:': u'Glazed Tiles Dado', u'Exterior:': u'Acrylic Paint', u'Kitchen:': u'Glazed Tiles Dado', u'Interior:': u'Oil Bound Distemper'}, u'Fittings': {u'Toilets:': u'Hot and Cold water mixer with Shower', u'Kitchen:': u'Provision for Water Purifier'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified Tiles', u'Balcony:': u'Vitrified Tiles', u'Master Bedroom:': u'Wooden Flooring', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Wooden Frame', u'Main:': u'Wooden Frame'}, u'Others': {u'Switches:': u'Modular Switches', u'Points:': u'Master Bedroom', u'Wiring:': u'Concealed Copper Wiring', u'Frame Structure:': u'RCC Frame', u'Windows:': u'Aluminium Sliding'}}","Jupiter Infrastructure, headquartered in Bengaluru, is an infrastructure development organization which is promoted by highly intellectual beings and dedicated professionals with defence as their background. The team at Jupiter Infrastructure Private Limited works on a philosophy in order to comprehend the core competence as well as to utilize its strength. The projects of Jupiter Infrastructure are present in Bengaluru, Nashik, Noida, Bhubaneswar, Mumbai, Mathura, Jaipur, etc. Unique Selling Po... more",4 BHK,Possession date: Dec'18,"1, 2, 3, 4 BHK",https://www.proptiger.com/bangalore/devanahalli/jupiter-gr-commanders-city-671340,Devanahalli,Jupiter, 1: Swimming Pool  2: Children's play area  3: Club House  4: Landscaped Gardens  5: Car Parking  6: Gymnasium  7: 24 X 7 Security  8: Power Backup  9: Golf Course  10: Rain Water Harvesting  11: Intercom  12: Indoor Games  13: Maintenance Staff  14: Jogging Track ,"{u'Apartment': u'1, 2, 3, 4\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'497\xa0-\xa03,644\xa0sq ft', u'Builder price': u'\u20b9\xa016.15 L\xa0-\xa0\u20b9\xa01.18 Cr'}","GR Commanders City is an upcoming residential project, being developed in Devanahalli, Bangalore. The project, which is presently under construction spans across a vast landscape surrounded by ample greenery and equipped with all possible modern day facilities and amenities that residents would need on a daily basis. The apartments on offer come in varying sizes and designed to suit the needs and budgets of different kinds of clients. Some of the modern day amenities and facilities that the residents can have access to include a swimming pool, children's play area, gymnasium, club house, power backup and round the clock security services. Additionally residents can also engage in sports by making use of the basketball, skating rink, football, volley ball, lawn tennis and other such facilities.","{u'Status': u'On Hold', u'Total Area': u'10\xa0Acres', 'total_unit': u'988', u'Possession Date(s)': u""Dec'18"", u'Launch Date': u""Nov'15"", u'Availability': u'None'}",
On Hold,"925 - 2,175 sq ft",Sovereign Sonaa,834,2175 sq ft(5BHK+5T), (13   Years of Experience ) (4   Total Projects ) (0   Ongoing Projects ) (  RERA ID ),₹ 42.92 L - ₹ 2.26 Cr,"{u'Walls': {u'Toilets:': u'Full Height Designer Tiles', u'Exterior:': u'Oil Bound Distemper', u'Kitchen:': u'Glazed Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Oil Bound Distemper'}, u'Fittings': {u'Toilets:': u'Branded CP Fittings with Hot & Cold Mixer', u'Kitchen:': u'Granite Platform with Stainless Steel Sink'}, u'Flooring': {u'Toilets:': u'Ceramic Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Other Bedroom:': u'Wooden Flooring', u'Balcony:': u'Vitrified Tiles', u'Master Bedroom:': u'Wooden Flooring', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Flush Shutters', u'Main:': u'Teak Wood Frame and Shutter'}, u'Others': {u'Windows:': u'Aluminium Sliding'}}",,5 BHK,Possession date: Dec'18,"2, 3, 4, 5 BHK",https://www.proptiger.com/bangalore/nelamangala-town/sovereign-developers-sonaa-640569,Nelamangala Town,Sovereign Developers," 1: Swimming Pool with Toddlers Pool  2: Swimming Pool  3: Children's play area  4: Indoor Games Room, Basketball Court  5: Jogging Track  6: Power Backup  7: Lift Available  8: Club House  9: 24 X 7 Security  10: Car Parking  11: Vaastu Compliant  12: Shopping Mall  13: School  14: Hospital  15: ATM ","{u'Apartment': u'2, 3, 4, 5\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'925\xa0-\xa02,175\xa0sq ft', u'Builder price': u'\u20b9\xa042.92 L\xa0-\xa0\u20b9\xa02.26 Cr'}",,"{u'Status': u'On Hold', u'Total Area': u'9\xa0Acres', 'total_unit': u'834', u'Possession Date(s)': u""Dec'18"", u'Launch Date': u""Jun'12"", u'Availability': u'None'}",
Under Construction,"544 - 1,532 sq ft",Rohan Akriti,248,1532 sq ft(3BHK+3T), (25   Years of Experience ) (44   Total Projects ) (15   Ongoing Projects ) (  RERA ID ),₹ 24.48 L - ₹ 68.94 L,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado up to 7 Feet Height Above Platform', u'Exterior:': u'Texture Paint'}, u'Fittings': {u'Toilets:': u'Branded CP Fitting'}, u'Flooring': {u'Toilets:': u'Ceramic Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified tiles', u'Kitchen:': u'Vitrified Tiles', u'Living/Dining:': u'Vitrified tiles', u'Balcony:': u'Ceramic Tiles'}, u'Doors': {u'Main:': u'Elegant Door'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed Copper Wiring with Circuit Breakers', u'Windows:': u'Aluminium Sliding Windows'}}","Established in the year 1993, Rohan Group is a leading real estate developer headquartered in Pune. Mr. Suhas Lunkad is the Chairman and Managing Director of the company, while Sanjay Lunkad, Milind Lunkad, Bharat Desadle, Deepak Bhatewara and Vinay Shrishrimal are the Directors of the company. The construction portfolio of the company includes construction of residential, commercial as well as the infrastructural properties. Top Rohan Garden Projects:  Rohan Garden in Kothrud, Pune comprising 1... more",3 BHK,Possession date: Dec'19,"1, 2, 3 BHK",https://www.proptiger.com/bangalore/subramanyapura/rohan-builders-and-developers-akriti-1469606,Subramanyapura,Rohan Builders and Developers, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Multipurpose Room  5: Power Backup  6: Landscaped Gardens  7: Indoor Games  8: Lift Available  9: Closed Car Parking  10: Club_House ,"{u'Apartment': u'1, 2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'544\xa0-\xa01,532\xa0sq ft', u'Builder price': u'\u20b9\xa024.48 L\xa0-\xa0\u20b9\xa068.94 L'}","Akriti project is registered in RERA with following RERA IDs 1. PR/KN/170731/000903 (ROHAN AKRITI BUILDING 1) and 2. PR/KN/180111/002510 (ROHAN AKRITI BUILDING 2). . Located in the Subramanyapura locality of Bangalore, Akriti is a housing project by Rohan Builders and Developers. The project is spread over an area of five acres and offers 1, 2 and 3 BHK apartments with their carpet area ranging from 544 sq ft to 1,532 sq ft. Some of its key highlights include Vitrified Tiles flooring in the master bedroom and ceramic tiles flooring in the toilets and balcony. The project is currently in an under construction stage with its possession scheduled in December 2019.Some of the key amenities offered by the project include a swimming pool, gymnasium, multipurpose room, power backup provision, landscaped gardens, indoor games facility and club house.Subramanyapura is a popular neighborhood in Bangalore and it is located near Bangalore-Mysore Expressway. The vicinity is easily accessible from Chikkalsandra, Padmanabha Nagar, JP Nagar Phase 1, 5, 6 and 7. New Millennium Public School, Lavtra Community College, Nagarathna Hospital, Metro Hospital, Bangalore ENT Surgical Clinic are some of the educational and healthcare facilities in the area. It also comprises of hotels, restaurants, shopping destinations and recreational centers.","{u'Status': u'Under Construction', u'Total Area': u'5\xa0Acres', 'total_unit': u'248', u'Possession Date(s)': u""Dec'19"", u'Launch Date': u""Mar'17"", u'Availability': u'New'}",RERA ID: PR/KN/170731/000903
Under Construction,"1,045 - 1,685 sq ft",Neeladri Kota Hills,47,1685 sq ft(3BHK+3T), (27   Years of Experience ) (7   Total Projects ) (2   Ongoing Projects ) (  RERA ID ),₹ 39.71 L - ₹ 64.03 L,"{u'Walls': {u'Toilets:': u'Designer Tiles Dado up to 7 Feet Height Above Platform', u'Exterior:': u'Apex Paint', u'Kitchen:': u'Glazed Tiles Dado', u'Interior:': u'Premium Emulsion Paint'}, u'Fittings': {u'Toilets:': u'CP Fittings of Jaquar / Marc or Equivalent', u'Kitchen:': u'Granite platform with stainless steel sink'}, u'Flooring': {u'Toilets:': u'Anti Skid Ceramic Tiles', u'Living/Dining:': u'Vitrified tiles', u'Other Bedroom:': u'Vitrified tiles', u'Balcony:': u'Anti Skid Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Sal Wood Frame', u'Main:': u'Teak Wood Frame'}, u'Others': {u'Points:': u'Living', u'Switches:': u'Anchor/Roma Switches', u'Wiring:': u'Concealed copper wiring', u'Frame Structure:': u'RCC framed structure', u'Windows:': u'UPVC windows'}}","An Overview Neeladri Properties is a real estate development company based in Bengaluru. The company has been a part of the real estate industry for 25 years and the portfolio of property by Neeladri include residential projects. Unique Selling Point The group believes in the key principles of dedication, innovation, quality and aesthetics. The company focuses on building eco-friendly homes and builds projects with modern architecture and super structure. Landmark Projects Deo Bliss is a residen... more",3 BHK,Possession date: Dec'18,"2, 3 BHK",https://www.proptiger.com/bangalore/subramanyapura/neeladri-kota-hills-1603357,Subramanyapura,Neeladri, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Multipurpose Room  6: Intercom  7: 24 X 7 Security  8: Jogging Track  9: Power Backup  10: Landscaped Gardens  11: Indoor Games  12: Car Parking  13: Lift Available  14: Vaastu Compliant ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,045\xa0-\xa01,685\xa0sq ft', u'Builder price': u'\u20b9\xa039.71 L\xa0-\xa0\u20b9\xa064.03 L'}",,"{u'Status': u'Under Construction', u'Total Area': u'1\xa0Acres', 'total_unit': u'47', u'Possession Date(s)': u""Dec'18"", u'Launch Date': u""May'17"", u'Availability': u'New'}",RERA ID: PR/KN/171006/002173
Under Construction,"1,000 - 2,525 sq ft",Mantri Serenity,2096,2525 sq ft(3BHK+3T), (19   Years of Experience ) (37   Total Projects ) (12   Ongoing Projects ) (  RERA ID ),₹ 59.90 L - ₹ 1.51 Cr,"{u'Walls': {u'Toilets:': u'Designer Tiles Dado', u'Exterior:': u'Emulsion Paint', u'Kitchen:': u'Designer Tiles Dado', u'Interior:': u'Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Branded CP Fittings and Sanitary Ware', u'Kitchen:': u'Provision for Water Purifier'}, u'Flooring': {u'Toilets:': u'Ceramic Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified tiles', u'Kitchen:': u'Vitrified Tiles', u'Living/Dining:': u'Vitrified tiles', u'Balcony:': u'Ceramic Tiles'}, u'Doors': {u'Internal:': u'Wooden Frame', u'Main:': u'Wooden Frame'}, u'Others': {u'Lobby:': u'Vitrified Tiles', u'Frame Structure:': u'Seismic Zone II Complaint RCC Framed Structure', u'Windows:': u'UPVC windows'}}","Established in 1999, Mantri Developers Pvt. Ltd. is a well-known real estate development company. Mr. Sushil Mantri is the Chairman and Managing Director of company.  Construction portfolio of the company spans across commercial, residential, hospitality, retail and education sectors which is spread across 20 million sq. ft. of land.  Mantri Developers Pvt. Ltd. offers villas, luxury apartments, row houses, semi-luxury apartments and super luxury apartments under its residential segment.   Top P... more",3 BHK,Possession started from: Nov'15,"2, 3 BHK",https://www.proptiger.com/bangalore/subramanyapura/mantri-group-serenity-501598,Subramanyapura,Mantri Group, 1: Gymnasium  2: Swimming Pool  3: Club House  4: Multipurpose Room  5: Sports Facility  6: Indoor Games  7: Children's play area  8: Rain Water Harvesting  9: Intercom  10: 24 X 7 Security  11: Jogging Track  12: Power Backup  13: Landscaped Gardens  14: Car Parking  15: ATM  16: Lift Available  17: Badminton Court  18: Basketball Court  19: Library  20: Squash Court ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,000\xa0-\xa02,525\xa0sq ft', u'Builder price': u'\u20b9\xa059.90 L\xa0-\xa0\u20b9\xa01.51 Cr'}","Mantra Group Serenity is registered with RERA with projects as follows- MANTRI SERENITY- 1 - PR/KN/170731/000494, MANTRI SERENITY- 3 - PR/KN/170731/000500, MANTRI SERENITY- 4 - PR/KN/170731/000502, MANTRI SERENITY- 5 - PR/KN/170731/000504. Mantra Group Serenity, located in Subramanyapura, Bangalore, offers apartments. The amenities include gymnasium, swimming pool, children's play area, club house, intercom, 24x7 security, rainwater harvesting, power backup, car parking, multipurpose room, sports facility, indoor games, library, Jacuzzi, mini theatre, and many others. The major real estate builders who have residential projects in this area are Mantri Group, Pride, Chartered, Gopalan, Oasis Constructions, Aarya Shelter, Jain Housing, Nanda Shelters, HSV Group, ISR Constructions etc. There are many schools and hospitals in this locality to boast of. The amenities that are offered by this project include power backup and landscaped gardens.","{u'Status': u'Under Construction', u'Total Area': u'19.6\xa0Acres', 'total_unit': u'2096', u'Possession Date(s)': u""Nov'15"", u'Launch Date': u""Apr'11"", u'Availability': u'New'}",
Under Construction,"661 - 1,750 sq ft",Prestige Lake Ridge,560,1750 sq ft(3BHK+3T + Servant Room), (32   Years of Experience ) (126   Total Projects ) (35   Ongoing Projects ) (  RERA ID ),Price on request,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado up to Lintel Level', u'Exterior:': u'Cement Paint', u'Kitchen:': u'Ceramic Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Oil Bound Distemper'}, u'Fittings': {u'Toilets:': u'GI / CPVC / PPR Pipes', u'Kitchen:': u'Granite platform'}, u'Doors': {u'Main:': u'Moulded Designer Door', u'Internal:': u'Teak / Sal Wood Door Frames'}, u'Flooring': {u'Toilets:': u'Anti Skid Ceramic Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified tiles', u'Kitchen:': u'Vitrified Tiles', u'Living/Dining:': u'Vitrified tiles', u'Balcony:': u'Anti skid ceramic tiles'}, u'Others': {u'Points:': u'Hall', u'Wiring:': u'Concealed copper wiring', u'Lobby:': u'Vitrified Tiles', u'Frame Structure:': u'RCC framed structure', u'Switches:': u'Modular Switches', u'Windows:': u'3 Track Powder Coated Aluminium Windows'}}","Envisioned by Mr. Razack Sattar in 1956, Prestige Group ventured into real estate projects in 1986. Today, it is acknowledged as one of the south India’s leading property developers. Irfan Razack is the chairman and managing director of this group.  Infrastructural developments of the company spans across retail, residential, commercial, leisure and hospitality sectors and covers cities such as Cochin, Bangalore, Chennai, Goa, Mangalore and Hyderabad.  Presently, Prestige has 65 ongoing pr... more",3 BHK,Possession date: Dec'20,"1, 2, 3 BHK",https://www.proptiger.com/bangalore/subramanyapura/prestige-group-lake-ridge-780737,Subramanyapura,Prestige Group, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Rain Water Harvesting  6: Intercom  7: 24 X 7 Security  8: Power Backup  9: Landscaped Gardens  10: Indoor Games  11: Maintenance Staff  12: Car Parking  13: Lift Available  14: Jogging Track  15: Vaastu Compliant  16: Cafeteria  17: ATM  18: Multipurpose Room  19: Sports Facility ,"{u'Apartment': u'1, 2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'661\xa0-\xa01,750\xa0sq ft', u'Builder price': u'Price on request'}","Lake Ridge project is registered in RERA with following RERA IDs 1. PR/KN/170729/000334 Prestige Lake Ridge Phase 1 & PR/KN/170729/000336 Prestige Lake Ridge Phase 2. Prestige Lake Ridge, located in Subramanyapura, Bengaluru, offers apartments with the price being on request. It provides amenities like a gymnasium, a swimming pool, a childrens play area, a club house, a rainwater harvesting, an intercom, 24x7 security, a power backup, landscaped gardens, an indoor games provision, a maintenance staff, a car parking, a community hall, a recreation facilities and a library. Situated around 55 kilometers from Bengaluru, Subramanyapura. It is located at a strategic location in South Bengaluru on the National Highway 209. It has become an alluring destination for IT/ITES professionals due to its close proximity to the major IT hubs of Bengaluru. The area enjoys seamless connectivity.","{u'Status': u'Under Construction', u'Total Area': u'15.94\xa0Acres', 'total_unit': u'560', u'Possession Date(s)': u""Dec'20"", u'Launch Date': u""Feb'17"", u'Availability': u'New'}",RERA ID: PR/KN/170729/000334
