status,possession,name,price_per_sqft,unit_type,about_project,Project_specifications,link,pro_detail,about_builder,project_price,proj_plan,price_range,data,project_overview
Ready To Move,Completed : Aug 2014,Unnathi RKN Residency, 1500&nbsp/ Sq.Ft. ,Residential  Land,"
                    Unnathi RKN Residency, located in Bangalore, is one of the residential developments of Unnathi Group India. It offers residential plots. The project is well equipped with all the amenities to facilitate the needs of the residents.,
,
Legal Approvals: BIAAPA,  ,
,
            ,
            ,Total Project Area:,
            ,13.00 Acres,
        ,  
     
                ,
            ,Project Details:,
            ,178 Units ,
        ,  
                ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/unnathi-rkn-residency-doddaballapur-bangalore-north-npxid-r257561?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,18 Lac,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Units:': u'178 Units', u'Total Project Area:': u'13.00 Acres'}"
Ready To Move,Completed : Jan 2016,Nitesh Napa Valley,,"3,4 BHK Independent House/Villa","
                    Nitesh Napa Valley is one of the residential development of Nitesh Estates, located in Bangalore. It offers spacious and skilfully designed 3BHK and 4BHK villas well equipped with all the basic amenities to facilitate the needs of the residents.,
 ,
ARCHITECT ,
Wimberly Allison Tong and Goo, WATG, California,
,
APPROVAL,
Construction License from BBMP,
Commencement certificate from BDA,
Airport Authority of India,
Bangalore Electricity Supply Company (BESCOM),
Bangalore Water Supply and Sewerage Board (BWSSB),
Karnataka Fire and Essential Services,
Karnataka State Pollution Control Board (KSPCB),
State Environmental Impact Assessment Authority,
,
LOCATION HIGHLIGHTS,
Yelahanka, the locality of North Bangalore that has seen fastest growth as compared to any other locality, is the one area of Bangalore that benefits immensely from its vicinity. Being extremely well connected with rest of the city along with the prime commercial hubs, Yelahanka sees a constant demand from Bangalore?s property seekers. Here is a synopsis of the advantages the area has over its nearby localities.,
,
Connectivity:,
Kempegowda International Airport: (18 km)  ,
,
Within 7 km: ,
Schools: Canadian International School | Oxford English School | Mallya Aditi International School | Cambridge Public School ,
Hospitals: Columbia Asia | Yelahanka Government Hospital | Navachethana Hospital,
Institutes: Tata Institute of Fundamental Research | Reva University | Nitte Meenakshi Institute of Technology,
Malls: Prestige Plaza ,
,
(Distances are straight line measurements from center of the locality.),
,
ABOUT CITY,
Bangalore is one of the largest IT hubs of the country, earning the nickname of 'Silicon Valley of India'. IT professionals look favorably at the residential developments here because of the factors including strong transportation, improved socio-economic status and presence of modern day conveniences increasing the demand for residential properties in Bangalore. Also, with positive trends the city is growing with new launches thereby, giving a variety to potential buyers to invest in as per their budget. The residential properties in Bangalore, ranging from affordable units to high-rise apartments to studios has welcomed people from different walks of life, thereby giving an opportunity to the developers to match up with the increasing housing demand.,  ,
,
            ,
            ,Total Project Area:,
            ,20.00 Acres,
        ,  
     
                ,
            ,Project Details:,
            ,133 Units 3 Floors,
        ,  
                ,
            ,Configurations:,
            ,Villa | 3, 4 BHK            ,
        ,
            ,
, ,
     
                ","
                    ,
                    STRUCTURE,
RCC framed structure (seismic zone II) with solid block walls,
,
DOOR,
Main Door: Polished teak wood frame with designer door shutters,
Internal Door: Polished teak wood frame with teak flush shutters,
Bathroom Doors: Teak wood frame with one side teak flush shutter,
Balcony/All External Doors: Polished teak wood frame with open able, sliding teak wood glazed panels,
,
WINDOWS,
Polished teak wood frame with teak wood glazed shutters,
,
FLOORING,
Foyer, Living, Dining: Italian marble,
Kitchen and Utility: Vitrified tiles,
Master Bedroom: Hardwood, Italian marble,
All other Bedrooms: Italian marble,
Balconies: Combination of granite and antiskid vitrified tile,
Master Bathroom: Italian marble,
Other Bathrooms: Antiskid vitrified tile,
Portico/Entrance Lobby: Heavy duty cement designer tile,
,
DADOO,
Master Bathroom: Italian marble up to false ceiling height,
Other Bathroom: Vitrified tiles up to false ceiling height,
Kitchen: Designer ceramic tiles, 2 feet above counter,
Private Terrace: Antiskid vitrified tiles,
,
STAIRCASE INTERNAL,
All Internal Staircases: Italian Marble,
Handrail, Balusters: Stainless steelbrush finish,
Balustrade Panels: 6 mm thick clear toughened glass,
,
KITCHEN,
20 mm thick granite counter with stainless steel sinkdouble bowl and single drain board of Franke equivalent make,
Hot and cold water mixer for stainless steel sink of reputed make,
,
UTILITY,
20 mm thick granite counter with stainless steel sink single bowl and single drain board of Franke equivalent make,
Sink cock of reputed make,
,
BATHROOMS,
Bath tub and shower cubicle in master bathroom,
Washbasin Italian marble vanity top for master bathroom,
Granite countertop washbasins for all other bathrooms,
EWC wall mounted in all bathrooms,
Chromium plated CP fittings and sanitary fittings of Kohler equivalent make,
CP towel rod, coat hook, soap tray,
Mirror in washbasin area,
Water proof false ceiling with inbuilt lights,
,
PAINTING,
Internal Walls and Ceilings: POP punning with Royal emulsion of reputed make,
External Finish: Exterior emulsion paint textured paint of reputed make,
,
ELECTRICAL,
14 KW power supply to A and B villas, 12 KW power supply to C villas,
Modular switches Honeywell, MK, Viola, Crabtree, and equivalent,
DG back up of 5 KW to all villas,
,
HVAC,
VRV system Optional    
                    ,
                ",https://www.99acres.com/nitesh-napa-valley-yelahanka-bangalore-north-npxid-r8520?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,"Nitesh Estates is the real estate division of Nitesh Group founded in 2004. The Bangalore-based unit is an integrated property development group with a presence in four asset classes. It is famous for building state-of-the-art residences, hotels, shopping malls and office buildings.  The company has constructed over 20 million square feet of premium homes, work and retail spaces. Today, Nitesh Builders is listed on the NSE and BSE.,
The group is a sought-after luxury realty brand that is recognized for its superior quality of,Nitesh Estates is the real estate division of Nitesh Group founded in 2004. The Bangalore-based unit is an integrated property development group with a presence in four asset classes. It is famous for building state-of-the-art residences, hotels, shopping malls and office buildings.  The company has constructed over 20 million square feet of premium homes, work and retail spaces. Today, Nitesh Builders is listed on the NSE and BSE.,
The group is a sought-after luxury realty brand that is recognized for its superior quality of construction and attention to detail. The developer is driven by a highly skilled team of professionals with vast experience in realty, giving it an unparalleled edge over its contemporaries.  Nitesh has won the ITC Limited corporate housing project. It has been attracting FDI in real estate Citigroup and Och Ziff. It has also brought The Ritz Carlton Hotel, the famous luxury chain, to India and is constructing its first property in the country.","{1: u'3 BHK Villa, 2712 sqft', 2: u'4 BHK Villa, 4025 sqft', 3: u'4 BHK Villa, 5342 sqft'}",,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Units:': u'133 Units', u'Total Project Area:': u'20.00 Acres', u'No. of Floors:': u'3 Floors'}"
Ready To Move,,Max Sri Vishnu Residency,,Residential  Land,"
                    Max Sri Vishnu Residency is one of the residential development of Maxworth Realty, located at Doddaballapur, Bangalore. It offers residential plots. The project is well equipped with all modern amenities and 24X7 security service to facilitate the needs of the residents.,  ,
,
     
                    ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/max-sri-vishnu-residency-doddaballapur-bangalore-north-npxid-r94976?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,Completed : Oct 2016,Bhagyalakshmi Golden Ira, 2334&nbsp/ Sq.Ft. ,Residential  Land,"
                    Bhagyalakshmi Golden Ira, located in Bangalore North, is a residential development of Bhagyalakshmi Properties LLP. It offers spacious and skillfully designed residential plots. The project is well equipped with all the basic amenities to facilitate the needs of the residents. The site is in close proximity to various civic utilities.,
,
Project Details,
Legal Approvals: BIAAPA,
,
Proximity,
20 min from International Schools,
20 min from International Airport,
20 min from Yelahanka,
20 min from Nandi Hills,
30 min from Dabaspet Industrial area,
45 min from Tumkur,
,
Proposed Features,
Bio-pool,
Sacred Grove,
Mini Theatre,
Multi-purpose hall with pantry,
Party lawns and space for Barbecue,
Fitness Zone,
Indoor Games - Chess, Snooker, Table Tennis,
Basketball court,
Tennis court,
Jogging and cycling track,
Amphitheatre,
Rain water harvesting, water re-cycling,
Solar powered street lights,
Land terracing to conserve soil and prevent erosion,
Rejuvenating water bodies,
Tree transplantation,
24 X 7 Security,
Underground power / water / communication,
Power back-up and CCTV surveillance for Clubhouse and Entry Plaza,
Water treatment plant,
Cricket practice net,
Meditation Pavilion,
Rock Garden,
Large open ground for traditional games,  ,
,
            ,
            ,Total Project Area:,
            ,48.00 Acres (8%),
        ,  
     
                ,
            ,Project Details:,
            ,510 Units ,
        ,  
                ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/bhagyalakshmi-golden-ira-doddaballapur-bangalore-north-npxid-r133779?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,35 Lac,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'Open Area:': u'8%', u'No. of Units:': u'510 Units', u'Total Project Area:': u'48.00 Acres'}"
Ready To Move,,Terracon Sai Enclave,,Residential  Land,"
                    Terracon Sai Enclave is located in Doddabalapur Town, near to a proposed 10,000 acre ITIR. It faces NH - 207 which will lead to Devanahalli and Bangalore International Airport. The project is surrounded by colleges, schools, houses and shops. It's a gated community with all developments and modern amenities at affordable price.,  ,
,
     
                    ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/terracon-sai-enclave-doddaballapur-bangalore-north-npxid-r2848?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,12 Lac,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Sri Venkata Sai Nilayam,,,"
                    Sri Venkata Sai Nilayam is a popular residential development in Yelahanka, Bangalore. This project offers 2BHK apartments with basic amenities for the comfort of residents. It is close to the market and many educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/sri-venkata-sai-nilayam-yelahanka-bangalore-north-npxid-r144053?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Sri Vinayaka Vilasa,,,"
                    Sri Vinayaka Vilasa is a popular residential development in Yelahanka, Bangalore. This project offers 1BHK and 2BHK apartments with basic amenities for the comfort of residents. It is close to the market and many educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/sri-vinayaka-vilasa-yelahanka-bangalore-north-npxid-r144071?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Krishnaveni Residency,,,"
                    Krishnaveni Residency is one of the popular residential projects in Yelahanka New Town, Bangalore. This project offers thoughtfully constructed 1BHK and 2BHK apartments with basic amenities for the comfort of residents. It is close to market, hospital and many educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/krishnaveni-residency-yelahanka-new-town-bangalore-north-npxid-r153635?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Apna Golf Woods,,,"
                    Apna Golf Wood is one of the popular residential projects that is located in Doddaballapur, Bangalore. Developed by Apna Sapna, this project offers plots with basic amenities for the comfort of residents. It is close to market and many educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/apna-golf-woods-doddaballapur-bangalore-north-npxid-r137979?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,"As the name suggests, Apna Sapna Builders was set up with a motive to convert the dreams of a buyer for a home into reality in Bangalore. Established in the year 2002, Apna Sapna is a relatively young and dynamic organization focused to provide quality living spaces to the buyers. It aims to maintain highest level of integrity and honesty in all its dealings. Apart from construction, the group also undertakes marketing activities for other property developers. Apna Sapna Aangan, Apna Sapna Tropical Paradise, Apna Sapna Silicon Towers are some,As the name suggests, Apna Sapna Builders was set up with a motive to convert the dreams of a buyer for a home into reality in Bangalore. Established in the year 2002, Apna Sapna is a relatively young and dynamic organization focused to provide quality living spaces to the buyers. It aims to maintain highest level of integrity and honesty in all its dealings. Apart from construction, the group also undertakes marketing activities for other property developers. Apna Sapna Aangan, Apna Sapna Tropical Paradise, Apna Sapna Silicon Towers are some of its offerings in Bangalore.",{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Coral Heights,,,"
                    Coral Heights is a residential project by Coral Group located at Yelahanka, Bangalore. This project has 2BHK and 3BHK apartments which are ready to move in. Basic comforts have been made available for the residents. Care has been taken that residents can avail the moder facilities too. Project location is serene, away from city pollution. Connectivity is not an issue as major roads are nearby.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/coral-heights-yelahanka-bangalore-north-npxid-r55768?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
