Project_name,project_by,location,Super Built Area,Price Range,Price Per Sq Ft,Description,Project Status,possession_date,Bedrooms,units,towers,unit_price,rera_no,lat_lng
"
Prestige Garden Bay
",Prestige Group,"
in Yelahanka
, Bangalore

 
","3978
sqft","₹
2.20 Cr","₹
5530 per
sqft","
Description:


Residential apartment is available for sell. Property is ready for possession . It has good design of 4 bedrooms. Non-Stop water supply in 4 bathrooms. Situated in vishwanatha nagenahalli (Bangalore north). Area of the  



",Ready To Move,"
Ongoing
","
4 BHK
Apartment

",184 Units ,8 Towers ,"(3 BHK Flat->2159 sqft), (4 BHK Flat->3978 sqft) ",,"lat=13.093235,longt=77.59425"
"
Century Marvel
",Century Group,"
in Hebbal
, Bangalore

 
","1269
sqft","₹
73.0 Lac","₹
5752 per
sqft","
Description:


An exclusive, low-rise project with limited 2 & 3BHK apartments, Century Marvel is conveniently located near Hebbal Lake, equidistant from the Airport and M.G.Road. Surrounded by reputed educational institutions, IT Parks,  



",Ready To Move,"
Ongoing
","
3 BHK
Apartment

",88 Units ,2 Towers ,(3 BHK Flat->1269 sqft) ,,"lat=13.034996,longt=77.598175"
"
RMZ Latitude
",RMZ Corp,"
in Hebbal
, Bangalore

 
","3895
sqft","₹
3.90 Cr","₹
10,013 per
sqft","
Description:


Spacious 4 BHK apartment for sale in RMZ Lattitude. Investor unit, price can be made attractive. Contact for further details. 



",Ready To Move,"
Ongoing
","
4 BHK
Apartment

",122 Units ,2 Towers ,"(4 BHK Flat->3895 sqft), (4 BHK Flat->5654 sqft), (4 BHK Penthouse->6550 sqft) ",,"lat=13.034996,longt=77.598175"
"
Godrej Woodsman Estate
",Godrej Properties,"
in Hebbal
, Bangalore

 
","1632
sqft","₹
1.64 Cr","₹
10,049 per
sqft","
Description:


3 bed room semi furnished flat with all fittings / fixture and car park, for sale the apartment complex has all the facilities with back up power,kids play area, swimming pool, club house and lot of open space 



",Ready To Move,"
Ongoing
","
3 BHK
Apartment

",896 Units ,7 Towers ,"(2 BHK Flat->1272 sqft), (2 BHK Flat->1302 sqft), (3 BHK Flat->1632 sqft) ",,"lat=13.034996,longt=77.598175"
"
UNISHIRE PANAMERA
",Unishire Groups,"
in Hebbal
, Bangalore

 
","2243
sqft","₹
1.27 Cr","₹
5,662 per
sqft","
Description:


Located in Bangalore urban district of Karnataka, Thanisandra is a prime spot near Hebbal. Situated very close to the Outer Ring Road and its easy accessibility from the Nagavara Circle, makes it high on the wish list of  



",Ready To Move,"
Ongoing
","
4 BHK
Apartment

",32 Units ,1 Towers ,"(1 BHK Flat->1772 sqft), (2 BHK Flat->1772 sqft), (2 BHK Flat->2243 sqft), (3 BHK Flat->1772 sqft), (3 BHK Flat->1798 sqft), (3 BHK Flat->1811 sqft), (4 BHK Flat->2243 sqft) ",,"lat=13.034996,longt=77.598175"
"
Karle Zenith
",Karle Infra Pvt. Ltd.,"
in Hebbal
, Bangalore

 
","2513
sqft","₹
1.85 Cr","₹
7361 per
sqft","
Description:


This is a beautiful Flat in Karle Zenith, Hebbal. This Flat has a covered area of 2388 Sq-ft on floor 17 of 34 floors. The well ventilated Flat offers latest facilities such as like Swimming Pool, Private Terrace/Garden,  



",Ready To Move,"
Ongoing
","
3 BHK
Apartment

",396 Units ,3 Towers ,"(3 BHK Flat->2360 sqft), (3 BHK Flat->2388 sqft), (3 BHK Flat->2513 sqft), (3 BHK Flat->2614 sqft), (3 BHK Flat->2618 sqft), (3 BHK Flat->2858 sqft), (4 BHK Flat->5092 sqft), (4 BHK Flat->6274 sqft) ",,"lat=13.034996,longt=77.598175"
"
Prestige Monte Carlo
",Prestige Group,"
in Yelahanka
, Bangalore

 
","1535
sqft","₹
79.0 Lac","₹
5146 per
sqft","
Description:


For sale in July 2017.. the apartment is being painted recently and the bathrooms have been fitted with new ones 



",Ready To Move,"
Ongoing
","
3 BHK
Apartment

",540 Units ,10 Towers ,"(2 BHK Flat->1180 sqft), (2 BHK Flat->1245 sqft), (3 BHK Flat->1535 sqft), (3 BHK Flat->1815 sqft), (3 BHK Flat->1825 sqft), (3 BHK Flat->1860 sqft) ",,"lat=13.093235,longt=77.59425"
"
Bearys Lakeside Habitat
",Bearys Group,"
in Hebbal
, Bangalore

 
","2250
sqft","₹
2.19 Cr","₹
9,733 per
sqft","
Description:


The Flat has 3 washroom and 5 airy balconies. This is a 3 BHK flat located in Bearys Lakeside Habitat, Hebbal. The Value of this Flat is 2. 19 Cr. It is located on 2nd floor from 18 floors in the tower and is airy and  



",Ready To Move,"
Ongoing
","
3 BHK
Apartment

",106 Units ,2 Towers ,"(3 BHK Flat->2235 sqft), (3 BHK Flat->2250 sqft), (3 BHK Flat->2795 sqft), (4 BHK Flat->3820 sqft), (4 BHK Flat->3845 sqft), (4 BHK Flat->3945 sqft), (4 BHK Flat->4015 sqft), (4 BHK Penthouse->3600 sqft), (4 BHK Penthouse->3635 sqft) ",,"lat=13.034996,longt=77.598175"
"
NR Orchid Gardenia
",NR Greenwood Construction Pvt. Ltd,"
in Hebbal
, Bangalore

 
","2710
sqft","₹
1.50 Cr","₹
5535 per
sqft","
Description:


NR Orchid Gardenia is a new testimony to exclusivity in the evolving city of Bengaluru. 3 acres of lush greenery form the magnificent backdrop of 4 majestic residential towers with 128 flats ranging from 2470 Sqft to 4975  



",Ready To Move,"
Ongoing
","
3 BHK
Apartment

",128 Units ,4 Towers ,"(3 BHK Flat->2470 sqft), (3 BHK Flat->2600 sqft), (3 BHK Flat->2710 sqft), (4 BHK Flat->4975 sqft) ",,"lat=13.034996,longt=77.598175"
"
Sobha City Aristos
",Sobha Developers Ltd,"
in Hebbal
, Bangalore

 
","3758
sqft","₹
4.30 Cr","₹
11442 per
sqft","
Description:


4BHK villa available in sobha aristos available for sale, . The project has a uniquely built clubhouse for those who want to take a shot, well-built jogging and strolling track of your physical activities, and a premium  



",Ready To Move,"
Ongoing
","
4 BHK
Villa

",,,(4 BHK Villa->3758 sqft) ,,"lat=13.034996,longt=77.598175"
"
DS MAX Signature
",DS MAX Properties,"
in Hebbal
, Bangalore

 
","1744
sqft","₹
90.0 Lac","₹
5,161 per
sqft","
Description:


Expected price for this Flat is kept at 90 Lac. This one is a 3 BHK apartment in DS MAX Signature, Hebbal. It is built up in 1744 Sq-ft of usable area. It is situated on second floor out of 2 floors in all and is well  



",Ready To Move,"
Ongoing
","
3 BHK
Apartment

",192 Units ,4 Towers ,"(2 BHK Flat->950 sqft), (2 BHK Flat->1053 sqft), (2 BHK Flat->1056 sqft), (2 BHK Flat->1060 sqft), (2 BHK Flat->1064 sqft), (2 BHK Flat->1075 sqft), (2 BHK Flat->1076 sqft), (2 BHK Flat->1081 sqft), (2 BHK Flat->1082 sqft), (2 BHK Flat->1083 sqft), (2 BHK Flat->1084 sqft), (2 BHK Flat->1085 sqft), (2 BHK Flat->1086 sqft), (2 BHK Flat->1087 sqft), (2 BHK Flat->1089 sqft), (2 BHK Flat->1109 sqft), (2 BHK Flat->1126 sqft), (2 BHK Flat->1127 sqft), (2 BHK Flat->1135 sqft), (2 BHK Flat->1152 sqft), (2 BHK Flat->1156 sqft), (2 BHK Flat->1160 sqft), (2 BHK Flat->1185 sqft), (2 BHK Flat->1193 sqft), (3 BHK Flat->1176 sqft), (3 BHK Flat->1241 sqft), (3 BHK Flat->1250 sqft), (3 BHK Flat->1269 sqft), (3 BHK Flat->1276 sqft), (3 BHK Flat->1280 sqft), (3 BHK Flat->1285 sqft), (3 BHK Flat->1290 sqft), (3 BHK Flat->1305 sqft), (3 BHK Flat->1307 sqft), (3 BHK Flat->1315 sqft), (3 BHK Flat->1332 sqft), (3 BHK Flat->1357 sqft), (3 BHK Flat->1368 sqft), (3 BHK Flat->1370 sqft), (3 BHK Flat->1375 sqft), (3 BHK Flat->1397 sqft), (3 BHK Flat->1438 sqft), (3 BHK Flat->1443 sqft), (3 BHK Flat->1454 sqft), (3 BHK Flat->1516 sqft), (3 BHK Flat->1530 sqft), (3 BHK Flat->1575 sqft), (3 BHK Flat->1630 sqft), (3 BHK Flat->1739 sqft), (3 BHK Flat->1744 sqft) ",,"lat=13.034996,longt=77.598175"
"
Sobha Moonstone
",Sobha Developers,"
in Hebbal
, Bangalore

 
","1902
sqft","₹
1.10 Cr","₹
5783 per
sqft","
Description:


3 bhk semi furnished flat available for sale at Sobha moonstone. Well ventilated flat and one covered car parking 



",Ready To Move,"
Ongoing
","
3 BHK
Apartment

",106 Units ,2 Towers ,"(3 BHK Flat->1455 sqft), (3 BHK Flat->1804 sqft), (3 BHK Flat->1840 sqft), (3 BHK Flat->1855 sqft), (3 BHK Flat->1902 sqft), (3 BHK Flat->1933 sqft), (3 BHK Flat->1950 sqft), (3 BHK Flat->1960 sqft), (3 BHK Flat->1978 sqft), (3 BHK Flat->2038 sqft), (3 BHK Flat->2097 sqft) ",,"lat=13.034996,longt=77.598175"
