project_name,project_by,location,status,project_desciption,possesion_date,area,unit_type,Super_builduparea,Builder_price,Apartment,total_unit,rera_id
Mana Tropicale,Mana Projects,Avalahalli Off Sarjapur Road,Under Construction,"A premium housing project launched by Mana, Tropicale in Avalahalli Off Sarjapur Road, Bangalore is offering Apartment starting at Rs 43.84 lacs. It offers 2, 3 BHK Apartment in Bangalore East. The project is Under Construction project and possession in Dec 18. Among the many luxurious amenities that the project boasts are Cricket Net, Hammocks Zone, Badminton Court, Shopping Mall, Gymnasium etc. The Apartment are available from 1050 sqft to 1789 sqft at an attractive price points starting at @Rs 4,175 per sqft.",Possession date: Jun'19,2461 sq ft(3BHK+3T),3 BHK,"1,050 - 2,461 sq ft",₹ 47.25 L - ₹ 1.11 Cr,"2, 3 BHK",240,
Vijayas Vaibhav,Vijayas Ventures,Bommasandra,Under Construction,"Bommasandra region of Bangalore is one of the popular areas due to the vast projects of real estate that are taking place in this region. Vijayas Ventures Vaibhav Residency Company is developing a residential estate which will deliver spacious apartments. The entire project is still in under construction phase. The different amenities provided by these project area children play ground area for everybody for playing the sport, intercom services, a club house, gym, closed circuit security, powers backup generator, a beautiful garden, rain water harvesting and many other recreational facilities. The cost of the apartments is based on the request value.",Possession date: Dec'18,1435 sq ft(3BHK+3T),3 BHK,"900 - 1,435 sq ft",₹ 28.80 L - ₹ 45.92 L,"2, 3 BHK",32,
Gomati Iris,Gomati,Bommasandra,Under Construction,"Gomati Iris by Gomati Infratech at Bommasandra Bangalore is one of the most sought after residential project in Electronic City Bangalore of the recent times. Current status of properties in Gomati Iris are Under Construction. Gomati Iris by Gomati Infratech is nominally priced and is very conveniently located. The surroundings provide access to facilities like hospitals, schools, banks, convenience store etc. Gomati Iris by Gomati Infratech offers a total of 186 well-planned and perfectly-designed units. It offers 2 BHK, 3 BHK residential properties. The project offers world class residential units with latest specifications that meet the expectations of the urban lifestyle. Gomati Iris by Gomati Infratech ensures comfortable lifestyle of unmatched quality through amenities like Multipurpose Room, Car Parking, Swimming Pool, 24 X 7 Security, Others, Lift Available that are best in class and features. The lavish yet thoughtfully designed residences potentially marks Gomati Iris as one of the most promising residential projects in Electronic City Bangalore. Project is conveniently priced across various budgets.",Possession date: Dec'18,1435 sq ft(3BHK+2T),3 BHK,"1,030 - 1,435 sq ft",₹ 32.45 L - ₹ 45.20 L,"2, 3 BHK",188,RERA ID: PR/KN/170731/000624
GR Sunshine,GR Projects,Carmelaram,Under Construction,"GR Projects Sunshine is located in Carmelaram, Bengalore. This magnificent projects comes with premium facilities like multi-layered with video door phone, departmental store, games Room, billiards, table tennis, Laundromat, party hall, badminton court, volley ball court, cricket practice pitch, CPVC fittings and piping for water supply, high quality HDPE pipes for sewer lines, service lift, fire fighting system and many others.Situated south of Bengalore, Carmelaram is a popular residential area with neighboring places like Varthur, Bellandur, Marathahalli, Avalahalli, Ramagondanahalli, Sarjapur Road Post Railway Crossing, Sarjapur Road. Â Confident, Kristal, DSR Infrastructures Pvt Ltd, Concorde Group, GR Projects, Corporate Leisure, Aratt, Aishwarya Associates and Janani Home are the key builders of the area.",Possession date: Dec'18,2950 sq ft(4BHK+4T),4 BHK,"833 - 2,950 sq ft",₹ 33.32 L - ₹ 1.24 Cr,"1, 2, 3, 4 BHK",174,
DSR White Waters,DSR Infrastructures,Carmelaram,Under Construction,,Possession date: Jun'19,1647 sq ft(3BHK+3T),3 BHK,"1,089 - 1,647 sq ft",₹ 48.46 L - ₹ 73.29 L,"2, 3 BHK",195,RERA ID: PR/KN/170731/000841
DNR Casablanca,DNR Group,Mahadevapura,Under Construction,,Possession date: Sep'21,1842 sq ft(3BHK+3T),3 BHK,"1,255 - 1,842 sq ft",₹ 71.41 L - ₹ 1.05 Cr,"2, 3 BHK",148,RERA ID: PR/KN/170902/001978
VKC Chourasia Sapphire,VKC,Mahadevapura,Under Construction,"Chourasia Sapphire residential project is soon going to be launched by VKC in Mahadevapura, Bangalore. All modern amenities viz. Rain Water Harvesting, Landscaped Gardens, Gym, Pool, Organic Park, Serene Water Bodies, Amphitheater, Basketball Court, Steam, Jacuzzi, Sauna, Beauty Saloon, Library, Day care, Banquet hall, Laundry, Departmental Store and Spa are available in this building. The possession of apartments will begin in January, 2016. VKC is dedicated to provide fashionable and continent homes provided with all the ultra-modern amenities that match with the best of global standards, at affordable price Mahadevapura is one of the fast developing localities in the east of Bangalore city.",Possession date: Jan'19,2283 sq ft(3BHK+3T),3 BHK,"1,463 - 2,283 sq ft",₹ 1.02 Cr - ₹ 1.60 Cr,3 BHK,42,
Ozone Promenade,Ozone Group,Mahadevapura,Under Construction,,Possession date: Oct'19,2400 sq ft(3BHK+3T),3 BHK,"1,345 - 2,400 sq ft",₹ 82.58 L - ₹ 1.47 Cr,"2, 3 BHK",549,RERA ID: PR/KN/170731/000781
Candeur Carlisle,Candeur,Mahadevapura,Under Construction,"Candeur Carlisle, located at Mahadevapura in Bengaluru is a premium housing community offering 2 and 3 BHK apartments for sale. It hosts an array of amenities such as a gymnasium, a swimming pool, childrenâ€™s play area, a club house, a cafeteria, sports facilty, intercom facility, 24x7 security, jogging track, power backup provision, indoor games, car parking area, an elevator, etc. Mahadevapura, lying on the eastern side of Bengaluru, has now become one of its primary industrial areas. Once almost a village, it has now transformed itself into a bustling locality. The locality is well-connected to Marathahalli, Indira Nagar, Whitefield, Commercial Street and Sarjapur.",Possession date: Dec'19,1604 sq ft(3BHK+3T),3 BHK,"1,135 - 1,604 sq ft",₹ 65.82 L - ₹ 93.02 L,"2, 3 BHK",304,RERA ID: PR/KN/170731/000641
DS Springfield,DS Max Properties,Anagalapura Near Hennur Main Road,Under Construction,"Launched by DS Max, Springfield, is a premium housing project located at Anagalapura Near Hennur Main Road in Bangalore. Offering 1, 2, 3 BHK Apartment in Bangalore North are available from 672 sqft to 1769 sqft. This project hosts amenities like Boundary Plantation, 24 X 7 Security, DTH Television Facility, Visitor Seating Plaza, Rain Water Harvesting etc. Available at attractive price points starting at @Rs 2,800 per sqft, the Apartment are available for sale from Rs 18.82 lacs to Rs 49.53 lacs. The project is Under Construction project and possession in Sep 18.",Possession date: Sep'18,1769 sq ft(3BHK+2T),3 BHK,"672 - 1,769 sq ft",₹ 28.59 L - ₹ 37.49 L,"1, 2, 3 BHK",264,
Hiranandani Kingston,House Of Hiranandani,Begur,Under Construction,,Possession date: Dec'19,1814 sq ft(3BHK+3T),3 BHK,"1,272 - 1,814 sq ft",₹ 71.87 L - ₹ 1.02 Cr,"2, 3 BHK",472,
Hiranandani Penrith,House Of Hiranandani,Begur,Under Construction,"Begur region of Bangalore is now the centre of residential projects made by the Hiranandani Penrith Residency Apartments. These projects deliver great apartments which are rooted with fine quality materials. The cost of the apartments is based on the request value. All the necessary facilities like bank, ATMs, train station, metro station, bus station, hospital, play school, petrol pump, park, school, higher education facilities, and restaurant all in a near vicinity of the residential project. Other amenities of the project are intercom, power back up a well-developed green area serving as a garden, a community hall, and a playground for the children and they also have facilities for outdoor games, a club house and more.",Possession date: Jan'20,595 sq ft(1BHK+1T),1 BHK,595 sq ft,₹ 32.13 L,1 BHK,96,
DS Saanjh,DS Max Properties,Begur,Under Construction,"DS Max Saanjh is a housing community in Begur, Bangalore. The complex is being developed over 1.5 acres. The flats are available through the developer solely. The community has various amenities on offer that include swimming pool, gymnasium, intercom services, children’s play area and club house. DS Max Properties Pvt. Ltd. is one of Bangalore prolific developers that have worked on ninety six properties so far. Forty four of their projects are under construction. Some of them are in Jalahalli and Malleswaram.",Possession date: Mar'19,1813 sq ft(3BHK+2T),3 BHK,"986 - 1,813 sq ft",₹ 39.71 L - ₹ 63.69 L,"2, 3 BHK",160,
Windsor Troika,Windsor,Begur,Under Construction,"Troika by Windsor, located in Begur, Bangalore, offers apartments with the price being on request. The amenities include gymnasium, swimming pool, childrenâ€™s play area, club house, multipurpose room, 24x7 security, jogging track, power backup, landscaped gardens, indoor games, car parking, community lawn, amphitheatre, sewage treatment plant and many others.One of the fastest developing areas of Bangalore, Begur is situated just off the Bangalore-Hosur Highway, it hosts the famous attraction Nageshvara Temple, while corporate giants such as Wipro, Infosys, BHEL, IBM and Oracle Corporation have set up their offices in close proximity. The area boasts of smooth connectivity to the rest of the city, and also has considerable number of reputed schools and hospitals in the vicinity. Puravankara, DLF, TG Developers, and Hiranandani are some of the key builders who have their projects here. The average price of apartments in Begur is Rs. 3501 per sq ft.",Possession date: Dec'18,1814 sq ft(3BHK+3T),3 BHK,"1,416 - 1,814 sq ft",₹ 63.72 L - ₹ 81.63 L,"2, 3 BHK",189,RERA ID: PR/KN/170802/001023
Nandi Nandi Citadel,Nandi Housing,Begur,Under Construction,,Possession date: Nov'18,1650 sq ft(3BHK+2T),3 BHK,"1,000 - 1,650 sq ft",₹ 44.00 L - ₹ 72.60 L,"2, 3 BHK",420,RERA ID: PR/KN/170801/000925
Hiranandani Queensgate,House Of Hiranandani,Begur,Under Construction,"Queensgate is a newly launched residential project by House of Hiranandani, located Off Bannerghatta Road, Bangalore. Bannerghatta is one of the most promising and desirable locations in South Bangalore. It is very close to Electronics City and major corporates like Infosys, Wipro, Dell, Siemens and HP. Besides, it enjoys close proximity to countries best educational institutions including IIM Bangalore, Sarala Birla Academy, Ryan International School, in addition to large multi specialty hospitals such as Wockhardt and Apollo. There will be 3 blocks in this project with S+27 floors. It offers well-designed 1 BHK, 2 BHK and 3 BHK apartments with area ranging between 565 sq. ft. - 1685 sq. ft. These apartments will be luxuriously designed and will have great interior specifications along with maximum space utilization. The project comes loaded with host of amicable amenities like swimming pools, fully equipped gymnasium, tennis court, badminton court, squash court and basketball court. House of Hiranandani is a leading developer in the real estate sector. The group has built multi-use developments in India on a large scale and has introduced retail, hospitality, healthcare, education and entertainment into their developments. The group has established various schools, colleges, institutions and hospitals. Their clubhouses and community spaces have earned international repute and success.",Possession date: Aug'21,1693 sq ft(3BHK+3T),3 BHK,"565 - 1,693 sq ft",₹ 35.28 L - ₹ 1.06 Cr,"1, 2, 3 BHK",432,RERA ID: PR/KN/170801/000971
Excel Codename Five Rings Apartment,Excel Group,Sarjapur,Under Construction,"Located in Sarjapur, Bangalore, Codename Five Rings Apartment is a premium housing project launched by Excel Group. The project offers Apartment in 1, 2 BHK configurations available from 391 sqft to 1200 sqft. These units in Sarjapur Road, are available at an attractive price points starting at @Rs 3,999 per sqft and will be available to buyers at a starting price of Rs 15.64 lacs. The project is Under Construction project and possession in Dec 20. Codename Five Rings Apartment has many amenities, such as Power Backup, Swimming Pool, Street Cams, Wifi, Retail Shops, Landscaped Gardens etc.",Possession date: Dec'20,1200 sq ft(2BHK+2T),2 BHK,"391 - 1,200 sq ft",₹ 15.64 L - ₹ 47.99 L,"1, 2 BHK",640,RERA ID: PR/KN/170922/002143
J Sons Hill City,J Sons Developers,Vidyaranyapura,Under Construction,"J Sons Developers Hill City is a housing complex in the north Bengaluru suburb of Vidyaranyapura. Covering a vast expanse, the project offers apartments of different layouts and built-up area through the developer. The construction of the community is slated to commence soon. The flats have been designed according to Vaastu tenets. Numerous amenities are there for home owners to enjoy in the community such as cafeteria, swimming pool; childrens play area and gymnasium. J Sons Developers is a renowned property builder. They have several projects to their credit, some of which are under construction. Yelahanka is 14 kilometres from the heart of Bengaluru.",Possession date: Jun'19,2000 sq ft(4BHK+4T),4 BHK,"650 - 2,000 sq ft",₹ 26.00 L - ₹ 80.00 L,"1, 2, 3, 4 BHK",118,
Surath Silver Star II,Surath,Chandapura,Under Construction,"Silver Star II by Surath Builders located in Anekal City, Bangalore, offers apartments. The amenities that are being offered by this housing property include gymnasium, childrenâ€™s play area, multipurpose room, 24x7 security, power backup, landscaped gardens, car parking, lifts, video lounge, etc. In the southern part of Bangalore lies Anekal, one of the most rapidly growing suburbs. It is adjacent to the Thally Road, which connects it to the major commercial locations. The reputed educational institutions of the area include Pearl Valley English School, Bharathi Girls High School, Sai City International School, and St. Josephâ€™s High School etc. IIM Bangalore can be reached in 41 minutes via the Hosur Road. The average apartment price here is Rs. 2575 per sq ft.",Possession date: Nov'18,1136 sq ft(3BHK+3T),3 BHK,"655 - 1,136 sq ft",₹ 13.76 L - ₹ 23.86 L,"2, 3 BHK",52,
Surath Silver Star I,Surath,Chandapura,Under Construction,"Silver Star I by Surath Builders located in Anekal City, Bangalore, offers apartments. The amenities that are being offered by this housing property include gymnasium, childrenâ€™s play area, multipurpose room, power backup, video lounge, etc. In the southern part of Bangalore lies Anekal, one of the most rapidly growing suburbs. It is adjacent to the Thally Road, which holds the credit of connecting it to the major commercial locations. The noteworthy educational institutions of the area include Pearl Valley English School, Bharathi Girls High School, Sai City International School, and St. Josephâ€™s High School etc. IIM Bangalore can be reached in 41 minutes via the Hosur Road. The average apartment price here is Rs. 2575 per sq ft.",Possession date: Nov'18,1191 sq ft(3BHK+2T),3 BHK,"683 - 1,191 sq ft",₹ 17.07 L - ₹ 29.77 L,"2, 3 BHK",38,
Subha Essence,Subha Builders,Chandapura,Under Construction,,Possession date: Dec'18,1305 sq ft(3BHK+3T),3 BHK,"645 - 1,305 sq ft",₹ 18.70 L - ₹ 37.84 L,"1, 2, 3 BHK",104,RERA ID: PR/KN/170801/000915
Sipani Royal Heritage,Sipani,Chandapura,Under Construction,"Chandapura region of Bangalore has an availability of nice and comfy apartments initiated in a project by Sipani Royal Heritage Residency Company of real estate. The neighbourhood is well settled with facilities like high school, bank, ATM, commercial complex, primary school, ATM, hospital, bus station, petrol pump, train station, office complex, restaurant, metro station, park etc all are present near at hand. The total numbers of apartments provided by this project are many and they are all in an under construction stage. The Price of the apartments is based on the request value. The amenities offered by this project are gym, club house, playground for children, sports facility, multipurpose room and much more.",Possession date: Jun'19,1115 sq ft(3BHK+3T),3 BHK,"575 - 1,115 sq ft",₹ 14.38 L - ₹ 27.88 L,"1, 2, 3 BHK",1274,
Mantri Centrium,Mantri Group,Seshadripuram,Under Construction,"Centrium is a premium project launched by the Mantri Group and comes with 3 and 4 BHK apartments sizedand comes with several amenities for residents including a well equipped gymnasium, sports facilities, swimming pool, multipurpose room, club house, intercom facilities, power backup facilities, 24 hour security services, car parking facilities, steam and sauna, table tennis facilities, massage room, mini theatre, billiards facilities, mini theatre, board games, Jacuzzi pool and indoor restaurant with open party area. The project is located at Seshadripuram and lies only 2.9 kilometres away from the Bengaluru city railway station. The International Airport at Devanahalli lies just 32.2 kilometres away from the project.",Possession date: Aug'19,8900 sq ft(4BHK+4T),4 BHK,"3,165 - 8,900 sq ft",₹ 3.79 Cr - ₹ 5.38 Cr,"3, 4 BHK",180,RERA ID: PR/KN/170731/000485
Unishire Uni Lakshmi Villas,Unishire Projects Pvt Ltd,Seshadripuram,Under Construction,"The construction company of Unishire Uni Lakshmi Villas apartment in Seshadripuram region of Bengaluru is offering luxurious villas. The project is in under construction stage. Different necessities like schools, banks, hospitals, petrol pumps, bus stations, restaurants, higher education schools, parks, ATMs, metro stations etc all are present near the project premises. This project has many facilities like a gym, rain water harvesting system, a playground for children, jogging track, security for 24 hours, power back up etc, and it offers luxurious space for accommodation purpose. The price of the villas is based on the request value.",Possession date: Dec'21,2657 sq ft(3BHK+3T),3 BHK,"1,217 - 2,657 sq ft",₹ 1.64 Cr - ₹ 3.59 Cr,"2, 3 BHK",23,
Vakil Magnolia,Vakil,Chandapura,Under Construction,,Possession date: Dec'18,1365 sq ft(3BHK+3T),3 BHK,"1,136 - 1,365 sq ft",₹ 32.94 L - ₹ 39.59 L,"2, 3 BHK",100,RERA ID: PR/KN/170823/001257
MDS One More Light,MDS,Sarjapur,Under Construction,,Possession date: May'19,1330 sq ft(2BHK+2T),2 BHK,"1,330 sq ft",₹ 37.91 L,2 BHK,136,RERA ID: PR/KN/17081/001314
Aswani Sunshine,Aswani Properties,Sarjapur,Under Construction,,Possession date: Mar'19,800 sq ft(3BHK+2T),3 BHK,509 - 800 sq ft,₹ 14.25 L - ₹ 22.40 L,"2, 3 BHK",160,
Vivansaa Blessings,Vivansaa,Sarjapur,Under Construction,"Live in the suburb of Sarjapur, Bangalore at the Vivansaa Blessings. Currently in the pre launch phase, the community has apartments of different configurations. They can be availed through the developer. These flats are spacious, offer great views of the surroundings, aerated and lit by natural light. Established in 2011, Vivansaa is a growing real estate development company. They have numerous projects to their name, some of which are under construction. They are preferred for their focus on quality and timely delivery of projects. Sarjapur is a fast developing suburb of Bangalore. The area is easily accessible from Outer Ring Road, Whitefield and Marathahalli.",Possession date: Dec'18,1883 sq ft(3BHK+3T),3 BHK,"606 - 1,883 sq ft",₹ 17.88 L - ₹ 55.55 L,"1, 2, 3 BHK",120,
Kolte Patil Mirabilis,Kolte Patil Developers,Horamavu,Under Construction,"A housing project by Kolte Patil Developers, Mirabilis is located in the Horamavu locality of Bangalore. It offers 1, 2, 3 and 4 BHK apartments with their super built-up area ranging from 436 sq ft to 2,299 sq ft. Among its many specifications, anti-skid tiles in the balcony and Vitrified Tiles in the kitchen and living room are the key highlights. The project is spread over an area of 7.2 acres. It is still in an under construction stage and its possession is scheduled in December 2018.A swimming pool, cafeteria, high-speed lifts, club house, childrens play area, 24x7 security provision, power backup provision and rain water harvesting facility are some of the amenities offered by the project.The Horamavu locality is surrounded by other developed areas viz. Ramamurthy Nagar, K.R. Puram, Banaswadi, Hebbal and Kalyan Nagar. Its proximity to K.R. Puram Railway Station and HAL Airport makes it all the more prominent. Social infrastructure in the locality entails prominent educational institutions, hotels, restaurants, hospitals and bank branches.",Possession date: Dec'18,2299 sq ft(4BHK+4T),4 BHK,"436 - 2,299 sq ft",₹ 22.02 L - ₹ 1.16 Cr,"1, 2, 3, 4 BHK",640,RERA ID: PR/KN/170731/000838
Pavani Divine,Pavani,Hoodi,Under Construction,,Possession date: Jun'20,1768 sq ft(3BHK+3T),3 BHK,"1,200 - 1,768 sq ft",₹ 50.39 L - ₹ 74.24 L,"2, 3 BHK",143,RERA ID: PR/KN/170822/001412
Chitrakut Amber,Chitrakut Estates,Horamavu,Under Construction,"Located at Hormavu,Chitrakut Amber lies with ineasy access to all of life's necessities be it the IT hubs at Whitefield, Marathalli, and Sarjapur, or major schools like Ebenezer International School, Deva Matha Central School and MaruthiVidyalaya, or even the leisure hot spots at MG Road.At Chitrakut Amber you will always be a step closer to your destination. Chitrakut Amber stands tall with its G+11 floors towers in this fast developing region of Bangalore. Each home at Chitrakut Amber is spacious and has maximum ventilation and ample natural lighting. It also has almost 80% of its land area dedicated to lung space for a healthy living.",Possession date: Dec'18,1900 sq ft(3BHK+3T),3 BHK,"1,450 - 1,900 sq ft",₹ 69.60 L - ₹ 91.20 L,"2, 3 BHK",48,
Uniidus Breeze,Uniidus Projects,Marathahalli,Under Construction,"Breeze is a premium housing project launched by Uniidus Projects in Marathahalli, Bangalore. These 1, 2, 3 BHK Apartment in Old Airport Road are available from 607 sqft to 1305 sqft. Among the many luxurious amenities that the project hosts are Gymnasium, Lift Available, Basket Ball Court, Sewage Treatment Plan, Rain Water Harvesting etc. Starting at @Rs 4,000 per sqft, Apartment are available at attractive price points. The Apartment will be available for sale from Rs 24.28 lacs to Rs 52.20 lacs.",Possession date: Dec'18,1305 sq ft(3BHK+2T),3 BHK,"607 - 1,305 sq ft",₹ 24.89 L - ₹ 53.51 L,"1, 2, 3 BHK",120,RERA ID: PR/KN/170824/001503
Divya sree 77 Sky,Divya Sree,Marathahalli,Under Construction,"77 Sky is South Indias first truly international quality luxury apartment project, designed with several unique features. It has only 51 centrally air-conditioned duplex apartments has been designed by award winning Singapore-based boutique architecture firm, Andy Fisher Workshop. A unique feature of 77 Sky is the extra-large double-height balconies. Each duplex has at least one main double-height balcony as well as 2-3 other smaller balconies. The playing area for local league table tennis is about 480 square feet and international matches are played across 1055 square feet.",Possession date: Dec'18,7618 sq ft(5BHK+5T),5 BHK,"5,863 - 7,618 sq ft",₹ 6.74 Cr - ₹ 8.76 Cr,"4, 5 BHK",52,
Grand Silver Mist,Grand Vault Group,Marathahalli,Under Construction,,Possession date: Dec'18,1272 sq ft(3BHK+2T),3 BHK,"1,024 - 1,272 sq ft",₹ 53.15 L,"2, 3 BHK",16,
