project_name,project_by,location,Build_Up_Area,Unit_Types,Price,about_project,Project status,possesion,launched,rera_no
Sri Charitha Blossom,By  in Brookefield,Brookefield,1200 - 1250 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														54L  - 56.25L 							",,Ready-to-move,,,
Shravanthi Prosper,By Shravanthi Group in BTM Layout,BTM Layout,1310 - 1800 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														43.23L  - 59.40L 							",,Ready-to-move,,,
Gopalan Royal Heritage,By Gopalan Enterprises in Bennigana Halli,Bennigana Halli,2275 - 2400 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														1.16Cr  - 1.22Cr 							",,Ready-to-move,,,
SN Luxor,By  in Bennigana Halli,Bennigana Halli,1510 - 1756 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														50.78L  - 59.05L 							",,Ready-to-move,,,
Concorde Spring Meadows,By Concorde Group in Tumkur Road,Tumkur Road,1210 - 1477 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														52.01L  - 63.49L 							",,Ongoing,Possession: Jun-2021,,
Sruthika Springfields,By Sruthika Builders and Developers in Vidyaranyapura,Vidyaranyapura,1377 - 1467 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														48.19L  - 51.34L 							",,Ongoing,Possession: Apr-2018,Launched: Aug-2013, REGISTRATION NO. PR/KN/170830/001505
Sobha Lotus Apartment,By Sobha Limited in Brookefield,Brookefield, sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Bhadra Apartments,By A R Group in Brookefield,Brookefield,1565 - 1650 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														56.34L  - 59.40L 							",,Ready-to-move,,,
SLS Sunflower,By  in Bhoganhalli,Bhoganhalli,1020 - 1318 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														70.38L  - 90.94L 							",,Ready-to-move,,,
DS Max Sonata,By DS MAX Properties Pvt. Ltd. in Jalahalli West,Jalahalli West,1263 - 1485 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														37.89L  - 44.55L 							",,Ongoing,Possession: May-2020,,
Artha Seion Gold,By Artha Property in Bannerghatta Road,Bannerghatta Road,2268 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														1.36Cr 							",,Ongoing,Possession: Dec-2017,,
Water Front Villament,By Valmark Builders in Bannerghatta Road,Bannerghatta Road,3340 - 3449 sq.ft,"
								4 BHK RowHouse
								Availability*: Yes
							","
														 
														1.95Cr  - 2.01Cr 							",,Ongoing,Possession: Jun-2018,,
Silicon Elegant Aerozone,By Silicon Projects in Yelahanka,Yelahanka,960 - 1134 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														30.96L  - 36.57L 							",,Ready-to-move,,,
Janapriya Heights,By Janapriya Engineers Syndicate in Jalahalli West,Jalahalli West,605 sq.ft,"
								1 BHK Apartment
								Availability*: Yes
							","
														 
														2.20L 							",,Ready-to-move,,,
Sobha Beryl,By Sobha Limited in Tumkur Road,Tumkur Road,1659 - 1759 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														89.58L  - 94.98L 							",,Ready-to-move,,,
Mahaveer Desire,By Mahaveer Group in Chikbanavara,Chikbanavara,1035 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														43.54L 							",,Ready-to-move,,,
DS Max Splendor,By DS MAX Properties Pvt. Ltd. in Jalahalli West,Jalahalli West,1325 - 1401 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														44.71L  - 47.28L 							",,Ready-to-move,,,
Sobha Garrison,By Sobha Limited in Tumkur Road,Tumkur Road,1200 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														73.80L 							",,Ready-to-move,,,
Geetanjali Apartments,By  in Peenya,Peenya,,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
DS Max Sandalwood,By DS MAX Properties Pvt. Ltd. in Peenya,Peenya,1330 - 1411 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														47.88L  - 50.79L 							",,Ready-to-move,Possession: Jul-2016,,
Sobha Ruby,By Sobha Limited in Peenya,Peenya,1790 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														90L 							",,Ready-to-move,,,
Kritan Kushal,By Kritan Urbane Living in Dasarahalli Main Road,Dasarahalli Main Road,1195 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														35.85L 							",,Ready-to-move,,,
Vaishnavi Gardenia,By Vaishnavi Group in Jalahalli West,Jalahalli West,1433 - 1618 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														98.06L  - 1.10Cr 							",,Ongoing,Possession: Aug-2018,Launched: Dec-2014, REGISTRATION NO. PR/KN/170729/000344
Sobha Basil,By Sobha Limited in Nagasandra,Nagasandra,1414 - 1469 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														75.08L  - 78L 							",,Ready-to-move,,,
Sobha Elite,By Sobha Limited in Tumkur Road,Tumkur Road,1646 - 1785 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														97.52L  - 1.05Cr 							",,Ready-to-move,,,
Mega Sannidhana,By Metro Properties Bangalore in Jalahalli West,Jalahalli West,1626 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														74.38L 							",,Ready-to-move,,,
Silver Oak Residences,By HillTop Arcade Private Limited in Hesaraghatta,Hesaraghatta,1015 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														51L 							",,Ongoing,Possession: Nov-2017,Launched: Jun-2015,
Godrej Gold County,By Godrej Properties Limited in Tumkur Road,Tumkur Road,4113 - 4200 sq.ft,"
								5 BHK Villa
								Availability*: Yes
							","
														 
														2.96Cr  - 3.02Cr 							",,Ongoing,Possession: Dec-2017,,
Sri Sri Apartments,By  in Bhuvaneshwari Nagar,Bhuvaneshwari Nagar,1060 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Bluejay Nine Forum,By  in Basapura,Basapura,2100 - 3208 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														1.47Cr  - 2.24Cr 							",,Ready-to-move,,,
BGS Brundavan,By Bhagini Developers in Mysore Road,Mysore Road,700 - 1040 sq.ft,"
								2 BHK Villa
								Availability*: Yes
							","
														 
														35.50L  - 42L 							",,Ready-to-move,Possession: Apr-2015,Launched: Mar-2015,
Lake Shore Villas,By  in Bommasandra,Bommasandra,1200 - 2400 sq.ft,"
								 Plot
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Cosmos Mayflower Gardenia,By Dream Home in Bommasandra,Bommasandra,921 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														 
														36.60L 							",,Ready-to-move,,,
Villa Pavilion,By IT ESTATES in Bommasandra,Bommasandra,1998 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														55.44L 							",,Ready-to-move,,,
DS Max Silver Wood,By DS MAX Properties Pvt. Ltd. in Bommasandra,Bommasandra,1276 - 1745 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														35.72L  - 48.86L 							",,Ongoing,Possession: May-2018,Launched: Apr-2015,
Svamitva Emerald Square,By Svamitva Infra Pvt Ltd in Bommasandra,Bommasandra,1394 - 1481 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														54.88L  - 58.09L 							",,Ongoing,Possession: Dec-2020,Launched: Sep-2017, REGISTRATION NO. PR/KN/170801/000667
Gomati Iris,By Gomati Infratech in Bommasandra,Bommasandra,1270 sq.ft,"
								2.5 BHK Apartment
								Availability*: Yes
							","
														 
														44.91L 							",,Ongoing,Possession: Jun-2018,,
Icon Honeypool,By Icon Developers & Promoters in Bommasandra,Bommasandra,805 - 827 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														15.69L  - 16.95L 							",,Ready-to-move,Possession: Oct-2013,,
Sree Sree Shine,By Sri Sri Builders And Developers in Bommasandra,Bommasandra,925 - 1000 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														20.35L  - 22.50L 							",,Ready-to-move,,,
Nisarga Gateway,By Nisarga Builders in Bommasandra,Bommasandra,620 sq.ft,"
								1 BHK Apartment
								Availability*: Yes
							","
														 
														36.73L 							",,Ready-to-move,,,
Mayur Brundavan,By Mayur Group in Bommasandra,Bommasandra,900 - 950 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														24.30L  - 25.65L 							",,Ready-to-move,,,
JR Greenpark Lakefront,By JR Housing Private Limited in Bommasandra,Bommasandra,2500 - 2650 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														1.25Cr  - 1.33Cr 							",,Ready-to-move,,,
Ma Sarada Casa Estrella,By  in Bommasandra,Bommasandra,1180 - 1260 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														41.30L  - 44.10L 							",,Ready-to-move,Possession: Nov-2017,Launched: Oct-2015,
Stanford Omkar,By Stanford Home Pvt. Ltd. in Bommasandra,Bommasandra,1010 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														29.54L 							",,Ready-to-move,,,
Sipani Bliss 2,By Sipani Properties Private Limited in Bommasandra,Bommasandra,1155 - 1330 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														24.25L  - 27.93L 							",,Ongoing,Possession: Dec-2017,,
Cloud 9 Independent Villas,By Prasiddhi Group in Bommasandra,Bommasandra,3200 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														1.66Cr 							",,Ready-to-move,,,
Vijayas Vaibhav,By Vijayas Ventures Pvt. Ltd. in Bommasandra,Bommasandra,1400 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														47.43L 							",,Ready-to-move,,,
Sriven Rag Meridian,By Sriven Properties in Bommasandra,Bommasandra,1096 - 1187 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														30.68L  - 33.23L 							",,Ongoing,Possession: Dec-2019,,
Prabhavathi Fortune,By Prabhavathi Builders in Bommasandra,Bommasandra,840 - 890 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														21.84L  - 23.14L 							",,Ongoing,Possession: Nov-2017,,
Maa Tara Rathnam,By Ma Sarada Constructions in Bommasandra,Bommasandra,1364 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														40.92L 							",,Ready-to-move,,,
Mitta Lakeview Golden Nest ,By Mitta Group  in Bommasandra,Bommasandra,1998 - 2051 sq.ft,"
								3 BHK Villa
								Availability*: Sold out
							","
														 
														75.11L  - 78.96L 							",,Ready-to-move,,,
Icon Laurels,By Icon Homz in Bommasandra,Bommasandra,1855 - 1960 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														 
														77L  - 81.35L 							",,Ready-to-move,,,
Mayur Springdale,By Mayur Group in Bommasandra,Bommasandra,2600 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														1.42Cr 							",,Ongoing,Possession: Sep-2017,,
Vakil Encasa,By Vakil Housing Development Corporation Pvt. Ltd in Bommasandra,Bommasandra,2275 - 2878 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														1.59Cr  - 2.05Cr 							",,Ready-to-move,,,
SJR Crystal Cove,By SJR Prime Corporation Pvt. Ltd. in Bommasandra,Bommasandra,3716 sq.ft,"
								4 BHK RowHouse
								Availability*: Yes
							","
														 
														2.07Cr 							",,Ready-to-move,,,
TCH Garden Residency,By The Creative Homes in Bommasandra,Bommasandra,1350 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														36.45L 							",,Ready-to-move,,,
Southern Springs,By  in Bommasandra,Bommasandra,1250 - 1280 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														38.43L  - 39.36L 							",,Ready-to-move,,,
Eternity Fortune,By Eternity Structures Pvt Ltd in Bidadi,Bidadi,1252 - 1340 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														32.55L  - 34.84L 							",,Ready-to-move,,,
Sampurna Bhoomika Ocean,By Sampurna Bhoomika Infra (I) Pvt. Ltd. in Bidadi,Bidadi,1000 - 1100 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														33L  - 36.30L 							",,Ongoing,,,
Fateh Perfecta Studio,By Fateh Buildtech Pvt Ltd in Bommasandra,Bommasandra,923 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														26.30L 							",,Upcoming,,,
ALPS Aurora,By ALPS Prime Spaces Pvt Ltd. in Bommasandra,Bommasandra,1130 - 1220 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														29.94L  - 32.33L 							",,Ongoing,Possession: Sep-2017,,
Hara Enclave,By Vaibhava Builders and Developers in Bidadi,Bidadi,1534 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														79.28L 							",,Ready-to-move,,,
Artha Zen,By Artha Property in Bannerghatta Road,Bannerghatta Road,4138 - 4780 sq.ft,"
								4 BHK Villa
								Availability*: Sold out
							","
														 
														2.45Cr  - 2.83Cr 							",,Ready-to-move,,,
Divya Jyothi Lake Bay,By Aratt Builder in Singasandra,Singasandra, sq.ft,"
								4 BHK RowHouse
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Vaswani Bellevue,By Vaswani Group in Bannerghatta Road,Bannerghatta Road,4670 sq.ft,"
								5 BHK Villa
								Availability*: Sold out
							","
														 
														3.73Cr 							",,Ready-to-move,,,
Cleartitle Green Valley,By Cleartitle Properties in Begur Road,Begur Road,1100 - 1300 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														 
														69.75L  - 73.75L 							",,Ongoing,Possession: Jun-2018,,
Purva The Sound Of Water,By Puravankara Limited in Bannerghatta Road,Bannerghatta Road,3986 - 4067 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														3.90Cr  - 5.04Cr 							",,Ongoing,Possession: Dec-2019,Launched: May-2014, REGISTRATION NO. PR/KN/170729/000230
Radiant Silver Oak,By Radiant Properties in Begur Road,Begur Road,1462 - 1732 sq.ft,"
								 Plot
								Availability*: Yes
							","
														 
														1.02Cr  - 1.21Cr 							",,Ready-to-move,Possession: Nov-2016,,
Prasadi Apartments,By  in Hulimavu,Hulimavu,1500 sq.ft,"
								2 BHK Villa
								Availability*: Yes
							","
														 
														95L 							",,Ready-to-move,,,
DLF Westend Heights New Town,By DLF Group in Akshayanagar,Akshayanagar,1360 - 1820 sq.ft,"
								3 BHK Apartment
								Availability*: Sold out
							","
														 
														89.76L  - 1.20Cr 							",,Ready-to-move,,,
DLF Bella Greens,By DLF Group in Akshayanagar,Akshayanagar,4104 - 4598 sq.ft,"
								5 BHK Villa
								Availability*: Sold out
							","
														 
														4.18Cr  - 4.68Cr 							",,Ready-to-move,,,
KPR Kranthi Enclave,By KPR Builders in Akshayanagar,Akshayanagar,1130 - 1289 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														45.20L  - 51.56L 							",,Ready-to-move,Possession: Nov-2016,,
Surath Snow White Homes,By Surath Builders in Akshayanagar,Akshayanagar,1414 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														46.66L 							",,Ready-to-move,,,
Axis Antara,By Axis Concept Construction Pvt. Ltd. in Akshayanagar,Akshayanagar,887 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														40.80L 							",,Ongoing,Possession: Dec-2020,,
Amogh AMG Conclave,By Amogh Developers in Akshayanagar,Akshayanagar,1190 - 1465 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														40.46L  - 49.81L 							",,Ready-to-move,Possession: Dec-2015,,
Vardhini and Madku D Homes,By Vardhini And Madku Constructions in Akshayanagar,Akshayanagar,1550 - 1650 sq.ft,"
								3 BHK Apartment
								Availability*: Sold out
							","
														 
														54.25L  - 57.75L 							",,Ready-to-move,,,
Akshay Gardens,By Kumar Developers in Akshayanagar,Akshayanagar,1325 - 1560 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														44.71L  - 52.65L 							",,Ready-to-move,,,
Prabhavathi Ridge,By Prabhavathi Builders in Akshayanagar,Akshayanagar,840 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														35.77L 							",,Ready-to-move,Possession: Feb-2016,,
SLV Shruthi,By  in Akshayanagar,Akshayanagar,1310 - 1405 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														40.61L  - 43.55L 							",,Ready-to-move,,,
SML Maple Tree,By SML Infrastructures in Akshayanagar,Akshayanagar,1490 - 1595 sq.ft,"
								3 BHK Apartment
								Availability*: Sold out
							","
														 
														47.68L  - 51.04L 							",,Ready-to-move,,,
SRR Stone Creek,By SRR Homes in Akshayanagar,Akshayanagar,1585 - 2175 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														57.06L  - 79.93L 							",,Ready-to-move,,,
Dharani Nakshatra,By  in Akshayanagar,Akshayanagar,1460 - 1565 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														52.56L  - 56.34L 							",,Ready-to-move,,,
Surath Sunny Side,By Surath Builders in Akshayanagar,Akshayanagar,1250 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														43.75L 							",,Ongoing,Possession: Mar-2018,,
Bren Woods,By Bren Corporation in Electronic City Phase II,Electronic City Phase II,1305 - 1333 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														66.15L  - 67.48L 							",,Ready-to-move,Possession: Mar-2017,Launched: Mar-2014,
Gopalan Lake Front,By Gopalan Enterprises in Electronic City Phase I,Electronic City Phase I,1560 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														82.74L 							",,Ongoing,Possession: Dec-2018,Launched: Jan-2015, REGISTRATION NO. PR/KN/170812/001274
Bren Trillium,By Bren Corporation in Hosa Road,Hosa Road,1518 - 1672 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														77.98L  - 85.39L 							",,Ready-to-move,Possession: Jan-2015,Launched: Nov-2011,
Rishi Deccan Palms,By Rishi Projects in Electronic City Phase II,Electronic City Phase II,2095 - 2571 sq.ft,"
								3 BHK RowHouse
								Availability*: Yes
							","
														 
														70.18L  - 86.12L 							",,Ready-to-move,,,
LGCL Pueblo,By LGCL in Rayasandra,Rayasandra,2483 - 3027 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														NA							",,Ongoing,,, REGISTRATION NO. PR/KN/170731/000286
Daadys Daaliya Row House,By Daadys Builders Pvt Ltd in Electronic City Phase II,Electronic City Phase II,1382 - 1930 sq.ft,"
								3 BHK RowHouse
								Availability*: Yes
							","
														 
														35.24L  - 49.21L 							",,Ready-to-move,,,
Shanders Orchards,By Shanders Group in Electronic City Phase II,Electronic City Phase II,3500 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														2.07Cr 							",,Ongoing,,,
Emmanuel Angels Arch,By Emmanuel Constructions Pvt Ltd in Electronic City Phase II,Electronic City Phase II,1384 - 1705 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														 
														70.58L  - 86.95L 							",,Ready-to-move,,,
SJR Fiesta Homes,By SJR Prime Corporation Pvt. Ltd. in Electronic City Phase II,Electronic City Phase II,1549 - 1755 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														79.31L  - 94L 							",,Ready-to-move,,,
Sri Bhagwan Embassy,By Sri Bhagwan Developers in Kammasandra,Kammasandra,1470 - 1505 sq.ft,"
								3 BHK Apartment
								Availability*: Sold out
							","
														 
														40.79L  - 41.76L 							",,Ready-to-move,,,
Infrany Petals,By Infrany Ventures in Electronic City Phase II,Electronic City Phase II,1300 - 1600 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														49.40L  - 60.80L 							",,Ready-to-move,Possession: Dec-2016,,
Sri Infra Heights,By Sri Infra Structures in Electronic City Phase II,Electronic City Phase II,990 - 1290 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														32.40L  - 40.90L 							",,Ongoing,Possession: Jul-2018,,
Concorde Epitome,By Concorde Group in Electronic City Phase II,Electronic City Phase II,1440 - 1737 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														55L  - 66L 							",,Ongoing,Possession: Dec-2019,Launched: Jul-2014, REGISTRATION NO. PR/KN/170731/000698
Sanguine Homes,By Vintcs Group in Electronic City Phase II,Electronic City Phase II,1472 - 1584 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														 
														49.68L  - 53.46L 							",,Ready-to-move,,,
SNN Raj GreenBay,By S N N Builders Pvt Ltd in Electronic City Phase II,Electronic City Phase II,630 sq.ft,"
								1 BHK Apartment
								Availability*: Sold out
							","
														 
														40L 							",,Ongoing,Possession: Dec-2018,Launched: Jul-2014, REGISTRATION NO. PR/KN/170731/000621
Pragathi Amber ,By SLV Concretes in Electronic City Phase II,Electronic City Phase II,1430 - 1690 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														50.03L  - 59.13L 							",,Ongoing,Possession: Dec-2018,,
Akshaya Evita,By Akshya Developers in Electronic City Phase II,Electronic City Phase II,1600 - 1900 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														 
														49.20L  - 58.42L 							",,Ready-to-move,,,
Hiranandani Kingston,By House of Hiranandani  in Akshayanagar,Akshayanagar,1811 - 1814 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.01Cr  - 1.01Cr 							",,Ongoing,Possession: Jan-2021,,
TG Epitome,By TG Developers in Hosa Road,Hosa Road,1245 - 1580 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														44.70L  - 56L 							",,Ready-to-move,Possession: Jul-2017,Launched: Jun-2014, REGISTRATION NO. PR/KN/170731/000521
Kritan Iris,By Kritan Urbane Living in Electronic City Phase II,Electronic City Phase II,1590 - 2125 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														55L  - 80L 							",,Ongoing,Possession: Oct-2017,Launched: Jan-2016,
Shriram Summitt,By Shriram Properties in Electronic City Phase I,Electronic City Phase I,1175 - 1275 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														59.52L  - 65.45L 							",,Ongoing,Possession: Sep-2019,Launched: Oct-2015, REGISTRATION NO. PR/KN/170804/001121
The Lake View Address,By The Address Makers in Electronic City Phase I,Electronic City Phase I,1200 - 2000 sq.ft,"
								 Plot
								Availability*: Yes
							","
														 
														55L  - 88L 							",,Ongoing,Possession: Dec-2017,Launched: Apr-2014, REGISTRATION NO. PR/KN/170731/000725
Pragati Plaza,By Pragati Builders in Electronic City Phase II,Electronic City Phase II,988 - 1256 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														41.16L  - 55L 							",,Ready-to-move,,,
VMAKS Heights,By VMAKS Builders Private Limited in Electronic City Phase II,Electronic City Phase II,1585 - 1869 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														53.89L  - 63.54L 							",,Ready-to-move,,, REGISTRATION NO. PR/KN/170731/000631
Skylark Royaume,By Skylark Mansions Pvt Ltd in Hosa Road,Hosa Road,1040 - 1278 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														45.44L  - 63.88L 							",,Ongoing,Possession: Oct-2020,Launched: Nov-2015, REGISTRATION NO. PR/KN/170728/000047
Kolte Patil I TOWERS Exente,By Kolte Patil Developers Ltd in Electronic City Phase I,Electronic City Phase I,1391 sq.ft,"
								2.5 BHK Apartment
								Availability*: Yes
							","
														 
														79.83L 							",,Ongoing,Possession: Dec-2021,Launched: Dec-2017, REGISTRATION NO. PR/ KN/170731/000862
Keerthi Royal Palms,By Keerthi Estates Pvt Ltd in Hosur Road,Hosur Road,1225 - 1780 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														50.22L  - 72.98L 							",,Ongoing,Possession: Dec-2017,, REGISTRATION NO. PR/KN/170830/001598
Green Shapes Shubham Boutique Villa,By Green Shapes Developers (India) Pvt. Ltd. in Varthur,Varthur,4800 sq.ft,"
								5 BHK Villa
								Availability*: Sold out
							","
														 
														1.90Cr 							",,Ready-to-move,,,
Surath Sun Shine,By Surath Builders in Akshayanagar,Akshayanagar,1432 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														50.12L 							",,Ongoing,Possession: Dec-2017,,
KRK Urban Ville,By KRK Ventures in Gunjur,Gunjur,2134 - 3190 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														 
														1.46Cr  - 2.32Cr 							",,Ready-to-move,,,
Salarpuria Sattva Senorita,By Salarpuria Sattva Group in Sarjapur Road,Sarjapur Road,3498 - 3516 sq.ft,"
								4 BHK PentHouse
								Availability*: Yes
							","
														 
														3Cr  - 3.02Cr 							",,Ready-to-move,,,
Prashanthi Kuteera,By Shankar Associates in Whitefield,Whitefield,2990 sq.ft,"
								3 BHK Villament
								Availability*: Yes
							","
														 
														1.19Cr  - 1.33Cr 							",,Ready-to-move,,,
Sunshine Signature,By United Estates Builders Pvt Ltd. in Off Sarjapur road,Off Sarjapur road,2575 - 3388 sq.ft,"
								4 BHK RowHouse
								Availability*: Yes
							","
														 
														1.69Cr  - 2.20Cr 							",,Ongoing,Possession: Dec-2018,Launched: May-2017,
Krishvi Dhavala,By Krishvi Projects P Ltd in Bellandur,Bellandur,3445 sq.ft,"
								4 BHK Villament
								Availability*: Yes
							","
														 
														1.89Cr 							",,Ready-to-move,,,
Vaswani Melrose,By Vaswani Group in Marathahalli-Sarjapur Outer Ring Road,Marathahalli-Sarjapur Outer Ring Road,2500 - 2800 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														 
														1.27Cr  - 1.42Cr 							",,Ready-to-move,,,
ND Around The Mangoes,By ND Developers Pvt Ltd in Off Sarjapur road,Off Sarjapur road,4660 - 4920 sq.ft,"
								4 BHK Villa
								Availability*: Yes
							","
														 
														4.19Cr  - 4.42Cr 							",,Ongoing,Possession: Dec-2018,, REGISTRATION NO. PR/KN/170818/001346
Prestige Tech Vista,By Prestige Group in Kadubeesanahalli,Kadubeesanahalli,3980 - 4111 sq.ft,"
								4 BHK RowHouse
								Availability*: Yes
							","
														 
														3.38Cr  - 3.49Cr 							",,Ready-to-move,,,
Sobha Dream Acres,By Sobha Limited in Panathur,Panathur,1012 - 1210 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														64.79L  - 77.93L 							",,Ongoing,Possession: Mar-2019,Launched: Feb-2015,
Aesthetic Sunshine,By Aesthetic Construction in Sarjapur Road,Sarjapur Road,3000 sq.ft,"
								5 BHK RowHouse
								Availability*: Yes
							","
														 
														1.71Cr 							",,Ready-to-move,,,
Floral Woods,By  in Sarjapur Road,Sarjapur Road,1200 - 2400 sq.ft,"
								3 BHK Villa
								Availability*: Yes
							","
														 
														22.50L  - 79.10L 							",,Ready-to-move,Possession: Mar-2014,,
Ittina Anagha,By Ittina Group in Sarjapur Road,Sarjapur Road,1069 sq.ft,"
								2 BHK Villa
								Availability*: Yes
							","
														NA							",,Ready-to-move,,,
Wright Spaces The Grove Row House,By Wright Spaces India Pvt Ltd in Sarjapur Road,Sarjapur Road,3357 - 3374 sq.ft,"
								4 BHK RowHouse
								Availability*: Yes
							","
														 
														2.34Cr  - 2.36Cr 							",,Ready-to-move,,,
